RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags,UndirectedPairKey
"[""20675""] -> [""21240""]","[""20675""]","[""21240""]",20675 — BLUE POLKADOT BOWL,21240 — BLUE POLKADOT CUP,1,1,0.0175372001214697,0.0194604717076627,0.0093632958801498,0.5339105339105339,0.4811443433029909,27.43564194799565,0.0090220136933543,2.1037581829925376,0.5075274386067624,0.5068412307823161,0.4811443433029909,0.5339105339105339,0.0695970695970696,0.5144500622028712,0.0003412821867954,9783.293859345456,False,False,False,False,,"[""20675""] || [""21240""]"
"[""20677""] -> [""20676""]","[""20677""]","[""20676""]",20677 — PINK POLKADOT BOWL,20676 — RED RETROSPOT BOWL,1,1,0.0192327158619293,0.0244457941087154,0.009894726186861,0.5144736842105263,0.4047619047619047,21.04548872180451,0.0094245671747488,2.009271535169041,0.4596177944862155,0.4563324976055588,0.4047619047619047,0.5144736842105263,0.1543071161048689,0.4900278901018108,0.0004701590121121,7802.497964135802,False,False,False,False,,"[""20676""] || [""20677""]"
"[""21238""] -> [""20676""]","[""21238""]","[""20676""]",21238 — RED RETROSPOT CUP,20676 — RED RETROSPOT BOWL,1,1,0.0228515031885818,0.0244457941087154,0.0101477882376758,0.4440753045404208,0.4151138716356108,18.165714010578952,0.0095891650956531,1.7548315695614145,0.4295945880880158,0.4293504617041153,0.4151138716356108,0.4440753045404208,0.0429155313351498,0.4196295104317054,0.0005586231420227,6823.444625279846,False,False,False,False,,"[""20676""] || [""21238""]"
"[""21242""] -> [""20676""]","[""21242""]","[""20676""]",21242 — RED RETROSPOT PLATE,20676 — RED RETROSPOT BOWL,1,1,0.0166261767385362,0.0244457941087154,0.0087306407531126,0.5251141552511416,0.3571428571428571,21.48075668623614,0.0083242006597472,2.054292029713378,0.4411285061969994,0.4330597761655434,0.3571428571428571,0.5251141552511416,0.2417840375586853,0.5006683611424261,0.0004064400933653,7022.495448094404,False,False,False,False,,"[""20676""] || [""21242""]"
"[""20676""] -> [""85099B""]","[""20676""]","[""85099B""]",20676 — RED RETROSPOT BOWL,85099B — JUMBO BAG RED RETROSPOT,1,1,0.0244457941087154,0.1015538009920032,0.0075159429092013,0.3074534161490683,0.0740094692250186,3.027492946061945,0.0050333795991933,1.297307964486883,0.1907314426870435,0.1508458290461202,0.0740094692250186,0.3074534161490683,0.650790260572405,0.2058996151570651,0.0024825633100079,460.09607872081256,False,False,False,False,,"[""20676""] || [""85099B""]"
"[""20677""] -> [""21238""]","[""20677""]","[""21238""]",20677 — PINK POLKADOT BOWL,21238 — RED RETROSPOT CUP,1,1,0.0192327158619293,0.0228515031885818,0.0075665553193643,0.3934210526315789,0.3311184939091916,17.216418954362652,0.0071270588515203,1.6109172615546157,0.3622697732703853,0.360927951840166,0.3311184939091916,0.3934210526315789,0.1048387096774193,0.3705695494429971,0.0004394964678439,4765.535827261836,False,False,False,False,,"[""20677""] || [""21238""]"
"[""21239""] -> [""20677""]","[""21239""]","[""20677""]",21239 — PINK POLKADOT CUP,20677 — PINK POLKADOT BOWL,1,1,0.0190049600161959,0.0192327158619293,0.0096669703411276,0.5086551264980026,0.5026315789473684,26.44738944565141,0.0093014533451688,1.9960873452240948,0.5056433527226856,0.5056343830984642,0.5026315789473684,0.5086551264980026,0.007971656333038,0.4894224106360733,0.0003655169959588,9721.521546434102,False,False,False,False,,"[""20677""] || [""21239""]"
"[""20677""] -> [""21240""]","[""20677""]","[""21240""]",20677 — PINK POLKADOT BOWL,21240 — BLUE POLKADOT CUP,1,1,0.0192327158619293,0.0194604717076627,0.0082751290616459,0.4302631578947368,0.4252275682704811,22.10959551023201,0.0079008513387533,1.721039356817959,0.4277453630826089,0.4277379528963463,0.4252275682704811,0.4302631578947368,0.0074875207986689,0.410802686187074,0.0003742777228925,6853.236231662919,False,False,False,False,,"[""20677""] || [""21240""]"
"[""21243""] -> [""20677""]","[""21243""]","[""20677""]",21243 — PINK POLKADOT PLATE,20677 — PINK POLKADOT BOWL,1,1,0.0127290211559874,0.0192327158619293,0.0081992104464014,0.6441351888667992,0.4263157894736842,33.491639635869,0.0079543967993078,2.7560108598963664,0.5352254891702417,0.5240276725226733,0.4263157894736842,0.6441351888667992,0.2736954206602768,0.6249024730048699,0.0002448136470935,10547.499532527056,False,False,False,False,,"[""20677""] || [""21243""]"
"[""20711""] -> [""20712""]","[""20711""]","[""20712""]",20711 — JUMBO BAG TOYS,20712 — JUMBO BAG WOODLAND ANIMALS,1,1,0.0266221277457232,0.0358082801903026,0.0105779937240611,0.3973384030418251,0.2954063604240283,11.096271614558844,0.0096247011144802,1.5998890997473212,0.3463723817329267,0.3426022351054955,0.2954063604240283,0.3973384030418251,0.1771595900439238,0.3615301228515224,0.0009532926095808,4091.441890606029,False,False,False,False,,"[""20711""] || [""20712""]"
"[""20711""] -> [""20713""]","[""20711""]","[""20713""]",20711 — JUMBO BAG TOYS,20713 — JUMBO BAG OWLS,1,1,0.0266221277457232,0.0332523534770725,0.0083004352667274,0.311787072243346,0.2496194824961948,9.376391131482542,0.0074151868646148,1.404721718428342,0.2807032773697704,0.2789769302691313,0.2496194824961948,0.311787072243346,0.1285574092247301,0.2785347187662734,0.0008852484021125,2608.299344269291,False,False,False,False,,"[""20711""] || [""20713""]"
"[""20711""] -> [""21928""]","[""20711""]","[""21928""]",20711 — JUMBO BAG TOYS,21928 — JUMBO BAG SCANDINAVIAN PAISLEY,1,1,0.0266221277457232,0.0390221682356513,0.0086800283429496,0.3260456273764258,0.222438391699092,8.355394949031673,0.007641175195265,1.4258796601073267,0.2742420095377589,0.2693047808230177,0.222438391699092,0.3260456273764258,0.217681030653043,0.2870234591407744,0.0010388531476846,2374.3475643368447,False,False,False,False,,"[""20711""] || [""21928""]"
"[""20711""] -> [""21929""]","[""20711""]","[""21929""]",20711 — JUMBO BAG TOYS,21929 — JUMBO BAG PINK VINTAGE PAISLEY,1,1,0.0266221277457232,0.0409707460269258,0.0084016600870533,0.3155893536121673,0.205064854848672,7.702797342395554,0.0073109316524869,1.4012482988606585,0.2603271042304196,0.2543939562770022,0.205064854848672,0.3155893536121673,0.2424112868747328,0.2746186075852415,0.0010907284345664,2074.380709955635,False,False,False,False,,"[""20711""] || [""21929""]"
"[""20711""] -> [""21931""]","[""20711""]","[""21931""]",20711 — JUMBO BAG TOYS,21931 — JUMBO STORAGE BAG SUKI,1,1,0.0266221277457232,0.0589381516347808,0.0135641259236764,0.5095057034220533,0.2301416917131816,8.644751986443048,0.0119950669217585,1.9185989621709507,0.3698236975676174,0.3424302914799827,0.2301416917131816,0.5095057034220533,0.4488576449912126,0.4505675517872724,0.0015690590019179,3955.846363995432,False,False,False,False,,"[""20711""] || [""21931""]"
"[""20711""] -> [""22385""]","[""20711""]","[""22385""]",20711 — JUMBO BAG TOYS,22385 — JUMBO BAG SPACEBOY DESIGN,1,1,0.0266221277457232,0.0315821439416945,0.0082498228565644,0.3098859315589353,0.2612179487179487,9.812061275226675,0.0074090389860648,1.4032721550596934,0.285551940138442,0.2845132112545492,0.2612179487179487,0.3098859315589353,0.0992907801418438,0.2783037876172408,0.0008407838704996,2736.957838791492,False,False,False,False,,"[""20711""] || [""22385""]"
"[""20711""] -> [""22386""]","[""20711""]","[""22386""]",20711 — JUMBO BAG TOYS,22386 — JUMBO BAG PINK POLKADOT,1,1,0.0266221277457232,0.056812430407936,0.0119445287984613,0.4486692015209125,0.2102449888641425,7.897377357372107,0.0104320610185962,1.7107471089842263,0.3294570951925275,0.3071326281550822,0.2102449888641425,0.4486692015209125,0.4223008849557521,0.3918567711129765,0.001512467779865,3097.045206791263,False,False,False,False,,"[""20711""] || [""22386""]"
"[""20711""] -> [""22411""]","[""20711""]","[""22411""]",20711 — JUMBO BAG TOYS,22411 — JUMBO SHOPPER VINTAGE RED PAISLEY,1,1,0.0266221277457232,0.0554712015386172,0.0111600364409353,0.4192015209125475,0.2011861313868613,7.557101870611418,0.0096832750273654,1.6262590768925933,0.3101938261497044,0.2904092496183341,0.2011861313868613,0.4192015209125475,0.4067070995362111,0.3637303193739302,0.0014767614135698,2729.0437713756714,False,False,False,False,,"[""20711""] || [""22411""]"
"[""20711""] -> [""85099B""]","[""20711""]","[""85099B""]",20711 — JUMBO BAG TOYS,85099B — JUMBO BAG RED RETROSPOT,1,1,0.0266221277457232,0.1015538009920032,0.0159429092013361,0.5988593155893536,0.1569897832045851,5.896966039080213,0.0132393309382633,2.239728439233205,0.3779245493969693,0.3066183199425938,0.1569897832045851,0.5988593155893536,0.6676437429537768,0.4973055145973503,0.0027035782630728,2929.4936582675423,False,False,True,True,high directional confidence imbalance,"[""20711""] || [""85099B""]"
"[""20711""] -> [""85099C""]","[""20711""]","[""85099C""]",20711 — JUMBO BAG TOYS,85099C — JUMBO BAG BAROQUE BLACK WHITE,1,1,0.0266221277457232,0.0475250531430306,0.0102996254681647,0.3868821292775665,0.2167199148029819,8.1405933016679,0.0090344074322687,1.5534940218504367,0.3018010220402742,0.289560118275688,0.2167199148029819,0.3868821292775665,0.3273880301228695,0.3393570761345358,0.001265218035896,2749.615181179697,False,False,False,False,,"[""20711""] || [""85099C""]"
"[""20711""] -> [""85099F""]","[""20711""]","[""85099F""]",20711 — JUMBO BAG TOYS,85099F — JUMBO BAG STRAWBERRY,1,1,0.0266221277457232,0.0469430104261564,0.0091608462394979,0.344106463878327,0.1951482479784366,7.330302440224242,0.0079111234191639,1.4530665985966429,0.2696273559283818,0.259136592444816,0.1951482479784366,0.344106463878327,0.3155206286836934,0.2971634534521705,0.0012497228203339,2133.2180819620025,False,False,False,False,,"[""20711""] || [""85099F""]"
"[""20713""] -> [""20712""]","[""20713""]","[""20712""]",20713 — JUMBO BAG OWLS,20712 — JUMBO BAG WOODLAND ANIMALS,1,1,0.0332523534770725,0.0358082801903026,0.0128808583864763,0.3873668188736681,0.3597173144876325,10.817800151669166,0.0116901487961823,1.5738483476148348,0.3735420666806503,0.3732861527124372,0.3597173144876325,0.3873668188736681,0.0454954954954954,0.3515585386833655,0.001190709590294,4865.535910188467,False,False,False,False,,"[""20712""] || [""20713""]"
"[""21930""] -> [""20712""]","[""21930""]","[""20712""]",21930 — JUMBO STORAGE BAG SKULLS,20712 — JUMBO BAG WOODLAND ANIMALS,1,1,0.0334294969126429,0.0358082801903026,0.0102996254681647,0.3080999242997729,0.2876325088339223,8.604153080303764,0.009102572676096,1.3935418620006674,0.2978662165668476,0.2976903663168918,0.2876325088339223,0.3080999242997729,0.0403606698153714,0.2722916441094702,0.0011970527920687,2934.88472421987,False,False,False,False,,"[""20712""] || [""21930""]"
"[""20712""] -> [""21931""]","[""20712""]","[""21931""]",20712 — JUMBO BAG WOODLAND ANIMALS,21931 — JUMBO STORAGE BAG SUKI,1,1,0.0358082801903026,0.0589381516347808,0.0171069946350845,0.4777385159010601,0.2902533276084156,8.105760066271486,0.0149965207874477,1.801897855800792,0.3839959217547378,0.3723777570787341,0.2902533276084156,0.4777385159010601,0.2979139504563233,0.4188003642662792,0.0021104738476367,4640.795859593997,False,False,False,False,,"[""20712""] || [""21931""]"
"[""22385""] -> [""20712""]","[""22385""]","[""20712""]",22385 — JUMBO BAG SPACEBOY DESIGN,20712 — JUMBO BAG WOODLAND ANIMALS,1,1,0.0315821439416945,0.0358082801903026,0.0102996254681647,0.3261217948717949,0.2876325088339223,9.107440880674098,0.0091687232088901,1.4308100669708708,0.3068771518528586,0.3062731298112782,0.2876325088339223,0.3261217948717949,0.0740248226950354,0.2903135146814922,0.0011309022592746,3145.86037653972,False,False,False,False,,"[""20712""] || [""22385""]"
"[""20712""] -> [""22386""]","[""20712""]","[""22386""]",20712 — JUMBO BAG WOODLAND ANIMALS,22386 — JUMBO BAG PINK POLKADOT,1,1,0.0358082801903026,0.056812430407936,0.0150318858184026,0.4197879858657244,0.264587973273942,7.389016503104662,0.0129975303920632,1.625591243572193,0.3421879795698332,0.3332729397730369,0.264587973273942,0.4197879858657244,0.2707110241356817,0.3629755554577883,0.0020343554263394,3608.330939977998,False,False,False,False,,"[""20712""] || [""22386""]"
"[""20712""] -> [""22411""]","[""20712""]","[""22411""]",20712 — JUMBO BAG WOODLAND ANIMALS,22411 — JUMBO SHOPPER VINTAGE RED PAISLEY,1,1,0.0358082801903026,0.0554712015386172,0.0136147383338394,0.3802120141342756,0.2454379562043795,6.854223517577571,0.0116284100066519,1.5239546748265185,0.3128249851693276,0.305480702620423,0.2454379562043795,0.3802120141342756,0.2531769305962855,0.3247408125956583,0.0019863283271875,2953.819895701873,False,False,False,False,,"[""20712""] || [""22411""]"
"[""23199""] -> [""20712""]","[""23199""]","[""20712""]",23199 — JUMBO BAG APPLES,20712 — JUMBO BAG WOODLAND ANIMALS,1,1,0.0247494685696932,0.0358082801903026,0.0076677801396902,0.3098159509202454,0.2141342756183746,8.652075700752238,0.0067815442345855,1.397006669590939,0.26197511326931,0.257569823980459,0.2141342756183746,0.3098159509202454,0.209090909090909,0.2740076707299427,0.0008862359051046,2180.726696454536,False,False,False,False,,"[""20712""] || [""23199""]"
"[""20712""] -> [""85099B""]","[""20712""]","[""85099B""]",20712 — JUMBO BAG WOODLAND ANIMALS,85099B — JUMBO BAG RED RETROSPOT,1,1,0.0358082801903026,0.1015538009920032,0.0215861929345075,0.602826855123675,0.2125591826563668,5.936034389999287,0.0179497259741956,2.262102084690953,0.4076930188900208,0.3579614275426843,0.2125591826563668,0.602826855123675,0.5678688524590164,0.5012730541316717,0.0036364669603118,4041.601622479795,False,False,False,False,,"[""20712""] || [""85099B""]"
"[""20712""] -> [""85099C""]","[""20712""]","[""85099C""]",20712 — JUMBO BAG WOODLAND ANIMALS,85099C — JUMBO BAG BAROQUE BLACK WHITE,1,1,0.0358082801903026,0.0475250531430306,0.0111853426460168,0.3123674911660777,0.235356762513312,6.572691044152678,0.0094835522270121,1.3851511303212865,0.2738621268396949,0.271141663038445,0.235356762513312,0.3123674911660777,0.1623991581901087,0.2648424380230471,0.0017017904190046,2274.008188761273,False,False,False,False,,"[""20712""] || [""85099C""]"
"[""20713""] -> [""20725""]","[""20713""]","[""20725""]",20713 — JUMBO BAG OWLS,20725 — LUNCH BAG RED RETROSPOT,1,1,0.0332523534770725,0.0773357627290211,0.0099959510071869,0.3006088280060882,0.1292539267015706,3.887061010303856,0.0074243548885025,1.3192391814734126,0.2149313773538294,0.1971163905436176,0.1292539267015706,0.3006088280060882,0.4382389937106917,0.223273065277067,0.0025715961186844,949.5784511378608,False,False,False,False,,"[""20713""] || [""20725""]"
"[""20713""] -> [""21931""]","[""20713""]","[""21931""]",20713 — JUMBO BAG OWLS,21931 — JUMBO STORAGE BAG SUKI,1,1,0.0332523534770725,0.0589381516347808,0.0164237270978844,0.4939117199391171,0.2786603692571919,8.380169826154638,0.0144638948464393,1.8594816071457112,0.3862860445981545,0.3709900568191675,0.2786603692571919,0.4939117199391171,0.3390113560454241,0.4349735683043363,0.001959832251445,4636.532385285881,False,False,False,False,,"[""20713""] || [""21931""]"
"[""20713""] -> [""22386""]","[""20713""]","[""22386""]",20713 — JUMBO BAG OWLS,22386 — JUMBO BAG PINK POLKADOT,1,1,0.0332523534770725,0.056812430407936,0.0119951412086243,0.3607305936073059,0.2111358574610244,6.349501174604143,0.010105994190808,1.4754148410047287,0.2859332255341652,0.2759767439363376,0.2111358574610244,0.3607305936073059,0.3017828200972447,0.3039181631993699,0.0018891470178162,2342.9019630255657,False,False,False,False,,"[""20713""] || [""22386""]"
"[""20713""] -> [""22411""]","[""20713""]","[""22411""]",20713 — JUMBO BAG OWLS,22411 — JUMBO SHOPPER VINTAGE RED PAISLEY,1,1,0.0332523534770725,0.0554712015386172,0.0115143233120761,0.3462709284627093,0.2075729927007299,6.24235493117355,0.009669775310716,1.4448321783216027,0.2769219605817196,0.2680979166391729,0.2075729927007299,0.3462709284627093,0.2877745001638806,0.290799726924092,0.00184454800136,2193.751614400945,False,False,False,False,,"[""20713""] || [""22411""]"
"[""20713""] -> [""85099B""]","[""20713""]","[""85099B""]",20713 — JUMBO BAG OWLS,85099B — JUMBO BAG RED RETROSPOT,1,1,0.0332523534770725,0.1015538009920032,0.0198147585788035,0.595890410958904,0.1951158734114129,5.867731243322216,0.0164378556912771,2.223273645002839,0.3955031421851585,0.3409804657040229,0.1951158734114129,0.595890410958904,0.5939700704225352,0.4943366099669008,0.0033769028875263,3640.319759538452,False,False,True,True,high directional confidence imbalance,"[""20713""] || [""85099B""]"
"[""20713""] -> [""85099C""]","[""20713""]","[""85099C""]",20713 — JUMBO BAG OWLS,85099C — JUMBO BAG BAROQUE BLACK WHITE,1,1,0.0332523534770725,0.0475250531430306,0.0118939163882984,0.3576864535768644,0.2502662406815761,7.526271512003928,0.0103135965221696,1.4828816115758976,0.3039763471292203,0.2991936564825648,0.2502662406815761,0.3576864535768644,0.2072005878030859,0.3101614004338338,0.0015803198661287,2888.561159190347,False,False,False,False,,"[""20713""] || [""85099C""]"
"[""20713""] -> [""85099F""]","[""20713""]","[""85099F""]",20713 — JUMBO BAG OWLS,85099F — JUMBO BAG STRAWBERRY,1,1,0.0332523534770725,0.0469430104261564,0.0111853426460168,0.3363774733637747,0.2382749326145552,7.1656561926916025,0.0096243770700483,1.436143215940402,0.287326202989165,0.2831083181377894,0.2382749326145552,0.3363774733637747,0.1983865053171983,0.2894344629376182,0.0015609655759684,2545.0300603934907,False,False,False,False,,"[""20713""] || [""85099F""]"
"[""20717""] -> [""20718""]","[""20717""]","[""20718""]",20717 — STRAWBERRY SHOPPER BAG,20718 — RED RETROSPOT SHOPPER BAG,1,1,0.0191567972466848,0.0306964267638424,0.009844113776698,0.5138705416116248,0.3206924979389942,16.74040257405191,0.0092560685529854,1.9939206655972044,0.4172815197753095,0.4059487992428304,0.3206924979389942,0.5138705416116248,0.2884250474383301,0.4831741148477823,0.0005880452237126,6055.583184614902,False,False,False,False,,"[""20717""] || [""20718""]"
"[""20717""] -> [""85099B""]","[""20717""]","[""85099B""]",20717 — STRAWBERRY SHOPPER BAG,85099B — JUMBO BAG RED RETROSPOT,1,1,0.0191567972466848,0.1015538009920032,0.0085028849073792,0.4438573315719947,0.0837278843757787,4.370661927335894,0.0065574393321452,1.6154958970286306,0.2637926079738867,0.1927776837115791,0.0837278843757787,0.4438573315719947,0.7343256653134868,0.3423035305799915,0.0019454455752339,991.1303866110576,False,False,False,False,,"[""20717""] || [""85099B""]"
"[""20718""] -> [""20724""]","[""20718""]","[""20724""]",20718 — RED RETROSPOT SHOPPER BAG,20724 — RED RETROSPOT CHARLOTTE BAG,1,1,0.0306964267638424,0.0514981273408239,0.0106032999291426,0.3454245671887881,0.2058968058968059,6.707517050138649,0.0090224914347499,1.4490337172992198,0.275660686542797,0.2666867358202467,0.2058968058968059,0.3454245671887881,0.2905620360551431,0.2939264398479641,0.0015808084943926,2213.342719402803,False,False,False,False,,"[""20718""] || [""20724""]"
"[""20718""] -> [""20725""]","[""20718""]","[""20725""]",20718 — RED RETROSPOT SHOPPER BAG,20725 — LUNCH BAG RED RETROSPOT,1,1,0.0306964267638424,0.0773357627290211,0.0105526875189796,0.3437757625721352,0.1364528795811518,4.445236594830005,0.0081787559421423,1.4060197485046446,0.2401143210766435,0.2165853012860619,0.1364528795811518,0.3437757625721352,0.4784527518172378,0.266439999843114,0.0023739315768372,1245.0184172773031,False,False,False,False,,"[""20718""] || [""20725""]"
"[""20718""] -> [""21212""]","[""20718""]","[""21212""]",20718 — RED RETROSPOT SHOPPER BAG,21212 — PACK OF 72 RETROSPOT CAKE CASES,1,1,0.0306964267638424,0.0789047474440732,0.0096416641360461,0.3140972794723825,0.1221937139191789,3.980714591286295,0.0072195703348096,1.342894881430696,0.2181454966957807,0.1959099617442684,0.1221937139191789,0.3140972794723825,0.4822784810126582,0.2351925320283092,0.0024220938012364,952.4460048685678,False,False,False,False,,"[""20718""] || [""21212""]"
"[""20718""] -> [""21931""]","[""20718""]","[""21931""]",20718 — RED RETROSPOT SHOPPER BAG,21931 — JUMBO STORAGE BAG SUKI,1,1,0.0306964267638424,0.0589381516347808,0.0093379896750683,0.3042044517724649,0.1584370974667239,5.161418255148444,0.007528799019815,1.3524976564775009,0.2313207746195944,0.2195387673630453,0.1584370974667239,0.3042044517724649,0.3517176173967853,0.2452663001376841,0.0018091906552532,1357.256930249285,False,False,False,False,,"[""20718""] || [""21931""]"
"[""20718""] -> [""85099B""]","[""20718""]","[""85099B""]",20718 — RED RETROSPOT SHOPPER BAG,85099B — JUMBO BAG RED RETROSPOT,1,1,0.0306964267638424,0.1015538009920032,0.0145004555116914,0.4723825226710635,0.1427859456765512,4.651549405898267,0.0113831166969506,1.702836311557344,0.3075842341738073,0.2597105797241666,0.1427859456765512,0.4723825226710635,0.6017623038899633,0.3708287216790603,0.0031173388147408,1886.0771630080844,False,False,False,False,,"[""20718""] || [""85099B""]"
"[""20723""] -> [""20719""]","[""20723""]","[""20719""]",20723 — STRAWBERRY CHARLOTTE BAG,20719 — WOODLAND CHARLOTTE BAG,1,1,0.0348972568073691,0.0398066605931774,0.0175372001214697,0.5025380710659899,0.4405594405594406,12.624471974725784,0.0161480568641058,1.930184570032082,0.4715487558127152,0.4705293736300135,0.4405594405594406,0.5025380710659899,0.0858787073926516,0.4627314104728124,0.0013891432573638,8004.500618410707,False,False,False,False,,"[""20719""] || [""20723""]"
"[""20719""] -> [""20724""]","[""20719""]","[""20724""]",20719 — WOODLAND CHARLOTTE BAG,20724 — RED RETROSPOT CHARLOTTE BAG,1,1,0.0398066605931774,0.0514981273408239,0.023433545905456,0.5886840432294979,0.455036855036855,11.431173784892794,0.0213835774292156,2.3060176904063128,0.5218604491331764,0.5175644265611101,0.455036855036855,0.5886840432294979,0.1722595078299776,0.5371859158886739,0.0020499684762404,9678.08962092998,False,False,False,False,,"[""20719""] || [""20724""]"
