TransactionID,SourceSheet,Invoice,Country,CustomerID,InvoiceStart,InvoiceEnd,TimestampCount,LineCount,UniqueItemCount,TotalQuantity,Revenue,DurationMinutes
Year 2009-2010::519881,Year 2009-2010,519881,United Kingdom,16275,2010-08-22 11:27:00,2010-08-22 11:28:00,2,45,45,540,895.4,1.0
Year 2009-2010::520410,Year 2009-2010,520410,United Kingdom,16271,2010-08-26 09:34:00,2010-08-26 09:35:00,2,52,51,388,586.19,1.0
Year 2009-2010::520771,Year 2009-2010,520771,United Kingdom,,2010-08-31 11:19:00,2010-08-31 11:20:00,2,119,119,1936,8251.69,1.0
Year 2009-2010::520899,Year 2009-2010,520899,Germany,12645,2010-09-01 09:25:00,2010-09-01 09:26:00,2,25,25,292,410.98,1.0
Year 2009-2010::521226,Year 2009-2010,521226,United Kingdom,16719,2010-09-03 10:49:00,2010-09-03 10:50:00,2,44,43,299,234.06,1.0
Year 2009-2010::521651,Year 2009-2010,521651,Poland,12576,2010-09-07 13:41:00,2010-09-07 13:42:00,2,13,13,123,180.87,1.0
Year 2009-2010::521922,Year 2009-2010,521922,Finland,12631,2010-09-09 14:49:00,2010-09-09 14:50:00,2,38,38,390,642.52,1.0
Year 2009-2010::522719,Year 2009-2010,522719,United Kingdom,13202,2010-09-16 12:11:00,2010-09-16 12:12:00,2,8,8,35,192.07,1.0
Year 2009-2010::523203,Year 2009-2010,523203,United Kingdom,14152,2010-09-21 09:50:00,2010-09-21 09:51:00,2,22,22,268,388.68,1.0
Year 2009-2010::523766,Year 2009-2010,523766,United Kingdom,14875,2010-09-24 10:28:00,2010-09-24 10:29:00,2,42,42,774,1397.08,1.0
Year 2009-2010::524128,Year 2009-2010,524128,United Kingdom,13013,2010-09-27 14:35:00,2010-09-27 14:36:00,2,16,16,174,357.6,1.0
Year 2009-2010::528588,Year 2009-2010,528588,United Kingdom,14080,2010-10-22 14:03:00,2010-10-22 14:04:00,2,30,30,84,375.43,1.0
Year 2009-2010::530665,Year 2009-2010,530665,United Kingdom,14047,2010-11-04 10:48:00,2010-11-04 10:49:00,2,15,15,98,434.0,1.0
Year 2009-2010::531756,Year 2009-2010,531756,United Kingdom,17983,2010-11-09 13:23:00,2010-11-09 13:24:00,2,24,23,108,171.71,1.0
Year 2009-2010::532420,Year 2009-2010,532420,United Kingdom,16019,2010-11-12 09:30:00,2010-11-12 09:31:00,2,13,13,99,309.28999999999996,1.0
Year 2009-2010::533106,Year 2009-2010,533106,United Kingdom,16083,2010-11-16 11:53:00,2010-11-16 11:54:00,2,37,37,480,710.1,1.0
Year 2009-2010::533348,Year 2009-2010,533348,United Kingdom,,2010-11-17 09:22:00,2010-11-17 09:23:00,2,464,464,988,3525.89,1.0
Year 2009-2010::533505,Year 2009-2010,533505,United Kingdom,12890,2010-11-17 14:05:00,2010-11-17 14:06:00,2,56,56,201,329.3,1.0
Year 2009-2010::534948,Year 2009-2010,534948,United Kingdom,15269,2010-11-24 15:31:00,2010-11-24 15:32:00,2,15,15,156,335.26,1.0
Year 2009-2010::536591,Year 2009-2010,536591,United Kingdom,14606,2010-12-01 16:57:00,2010-12-01 16:58:00,2,40,40,93,198.32,1.0
Year 2010-2011::536591,Year 2010-2011,536591,United Kingdom,14606,2010-12-01 16:57:00,2010-12-01 16:58:00,2,40,40,93,198.32,1.0
Year 2010-2011::540185,Year 2010-2011,540185,United Kingdom,14653,2011-01-05 13:40:00,2011-01-05 13:41:00,2,29,29,305,344.81,1.0
Year 2010-2011::541596,Year 2010-2011,541596,United Kingdom,17602,2011-01-19 16:18:00,2011-01-19 16:19:00,2,103,101,799,767.0500000000001,1.0
Year 2010-2011::541631,Year 2010-2011,541631,France,12637,2011-01-20 10:47:00,2011-01-20 10:48:00,2,71,71,702,1408.68,1.0
Year 2010-2011::541809,Year 2010-2011,541809,United Kingdom,,2011-01-21 14:58:00,2011-01-21 14:59:00,2,91,88,463,2007.44,1.0
Year 2010-2011::541816,Year 2010-2011,541816,United Kingdom,17799,2011-01-21 15:56:00,2011-01-21 15:57:00,2,73,73,365,614.38,1.0
Year 2010-2011::541849,Year 2010-2011,541849,United Kingdom,13230,2011-01-23 13:33:00,2011-01-23 13:34:00,2,45,44,75,145.94,1.0
Year 2010-2011::542217,Year 2010-2011,542217,United Kingdom,14606,2011-01-26 12:35:00,2011-01-26 12:36:00,2,18,18,120,166.3,1.0
Year 2010-2011::542806,Year 2010-2011,542806,United Kingdom,12836,2011-02-01 11:19:00,2011-02-01 11:20:00,2,39,39,260,846.69,1.0
Year 2010-2011::543171,Year 2010-2011,543171,United Kingdom,,2011-02-04 09:10:00,2011-02-04 09:11:00,2,60,60,137,663.17,1.0
Year 2010-2011::543179,Year 2010-2011,543179,Japan,12754,2011-02-04 10:31:00,2011-02-04 10:32:00,2,37,37,37,45.57,1.0
Year 2010-2011::543182,Year 2010-2011,543182,United Kingdom,,2011-02-04 10:39:00,2011-02-04 10:40:00,2,143,143,433,1539.71,1.0
Year 2010-2011::543777,Year 2010-2011,543777,United Kingdom,15406,2011-02-11 16:19:00,2011-02-11 16:20:00,2,43,42,130,252.29,1.0
Year 2010-2011::544186,Year 2010-2011,544186,United Kingdom,,2011-02-16 15:55:00,2011-02-16 15:56:00,2,183,181,387,1300.39,1.0
Year 2010-2011::544667,Year 2010-2011,544667,United Kingdom,17511,2011-02-22 15:09:00,2011-02-22 15:10:00,2,34,34,2874,3336.7599999999998,1.0
Year 2010-2011::544926,Year 2010-2011,544926,United Kingdom,13468,2011-02-24 17:50:00,2011-02-24 17:51:00,2,6,6,32,105.2,1.0
Year 2010-2011::545460,Year 2010-2011,545460,United Kingdom,13230,2011-03-02 17:32:00,2011-03-02 17:33:00,2,76,71,133,275.53,1.0
Year 2010-2011::545713,Year 2010-2011,545713,United Kingdom,,2011-03-07 10:11:00,2011-03-07 10:12:00,2,120,119,1365,5307.65,1.0
Year 2010-2011::546388,Year 2010-2011,546388,United Kingdom,,2011-03-11 13:42:00,2011-03-11 13:43:00,2,90,90,623,2676.13,1.0
Year 2010-2011::546986,Year 2010-2011,546986,United Kingdom,14194,2011-03-18 12:55:00,2011-03-18 12:56:00,2,46,46,535,780.35,1.0
Year 2010-2011::547690,Year 2010-2011,547690,United Kingdom,16063,2011-03-24 14:55:00,2011-03-24 14:56:00,2,23,23,262,335.32,1.0
Year 2010-2011::548203,Year 2010-2011,548203,United Kingdom,,2011-03-29 16:40:00,2011-03-29 16:41:00,2,138,138,5963,21389.6,1.0
Year 2010-2011::549245,Year 2010-2011,549245,United Kingdom,15005,2011-04-07 11:59:00,2011-04-07 12:00:00,2,33,33,92,143.16,1.0
Year 2010-2011::549524,Year 2010-2011,549524,United Kingdom,,2011-04-08 15:41:00,2011-04-08 15:42:00,2,172,172,394,1256.28,1.0
Year 2010-2011::550320,Year 2010-2011,550320,United Kingdom,12748,2011-04-17 12:37:00,2011-04-17 12:38:00,2,83,79,342,590.47,1.0
Year 2010-2011::550333,Year 2010-2011,550333,United Kingdom,15410,2011-04-17 14:05:00,2011-04-17 14:06:00,2,22,22,164,456.20000000000005,1.0
Year 2010-2011::550641,Year 2010-2011,550641,United Kingdom,,2011-04-19 15:53:00,2011-04-19 15:54:00,2,9,9,14,17.11,1.0
Year 2010-2011::550645,Year 2010-2011,550645,United Kingdom,16098,2011-04-19 16:30:00,2011-04-19 16:31:00,2,7,7,56,157.9,1.0
Year 2010-2011::552000,Year 2010-2011,552000,United Kingdom,,2011-05-05 15:55:00,2011-05-05 15:56:00,2,142,141,325,1071.95,1.0
Year 2010-2011::553199,Year 2010-2011,553199,United Kingdom,17758,2011-05-15 15:13:00,2011-05-15 15:14:00,2,58,58,244,442.34000000000003,1.0
Year 2010-2011::553375,Year 2010-2011,553375,EIRE,14911,2011-05-16 14:52:00,2011-05-16 14:53:00,2,39,39,494,1184.22,1.0
Year 2010-2011::553556,Year 2010-2011,553556,United Kingdom,17530,2011-05-17 16:48:00,2011-05-17 16:49:00,2,51,51,132,246.89,1.0
Year 2010-2011::554116,Year 2010-2011,554116,United Kingdom,14514,2011-05-22 15:11:00,2011-05-22 15:12:00,2,13,12,52,147.86,1.0
Year 2010-2011::558086,Year 2010-2011,558086,United Kingdom,16728,2011-06-26 11:58:00,2011-06-26 11:59:00,2,48,48,110,221.38,1.0
Year 2010-2011::561369,Year 2010-2011,561369,United Kingdom,,2011-07-26 16:21:00,2011-07-26 16:22:00,2,160,160,430,1475.87,1.0
Year 2010-2011::562128,Year 2010-2011,562128,United Kingdom,16150,2011-08-03 09:06:00,2011-08-03 09:07:00,2,25,25,274,444.21999999999997,1.0
Year 2010-2011::563245,Year 2010-2011,563245,United Kingdom,16272,2011-08-15 10:53:00,2011-08-15 10:54:00,2,25,25,224,411.7,1.0
Year 2010-2011::567183,Year 2010-2011,567183,United Kingdom,14769,2011-09-18 15:32:00,2011-09-18 15:33:00,2,391,385,2708,3788.52,1.0
Year 2010-2011::571735,Year 2010-2011,571735,United Kingdom,14229,2011-10-19 10:03:00,2011-10-19 10:04:00,2,14,14,307,785.0699999999999,1.0
Year 2010-2011::574076,Year 2010-2011,574076,United Kingdom,,2011-11-02 15:37:00,2011-11-02 15:38:00,2,415,415,1033,3136.72,1.0
Year 2010-2011::576057,Year 2010-2011,576057,United Kingdom,15861,2011-11-13 15:05:00,2011-11-13 15:06:00,2,42,42,202,213.83999999999997,1.0
Year 2010-2011::578548,Year 2010-2011,578548,United Kingdom,17345,2011-11-24 15:02:00,2011-11-24 15:03:00,2,49,39,164,238.51,1.0
