StockCode,LineCount,TotalQuantity,Revenue,DescriptionVariants,RepresentativeDescription,TransactionCount,Support,SupportPercentage
22720,1392,7483,38108.89,1,SET OF 3 CAKE TINS PANTRY DESIGN,1385,0.03432806226143856,3.4328
48194,1372,7835,49542.47,2,DOORMAT HEARTS,1368,0.033906706984583354,3.3907
22630,1380,18334,33923.45,1,DOLLY GIRL LUNCH BOX,1364,0.033807564566499776,3.3808
82580,1376,13376,7545.160000000001,1,BATHROOM METAL SIGN,1363,0.033782778961978885,3.3783
21791,1368,18532,23926.98,1,VINTAGE HEADS AND TAILS CARD GAME,1351,0.03348535170772815,3.3485
21930,1364,13640,27888.86,1,JUMBO STORAGE BAG SKULLS,1347,0.03338620928964457,3.3386
20713,1351,21170,41332.89,1,JUMBO BAG OWLS,1340,0.033212710057998314,3.3213
22551,1355,15740,26420.749999999996,1,PLASTERS IN TIN SPACEBOY,1340,0.033212710057998314,3.3213
22726,1340,7935,33666.34,1,ALARM CLOCK BAKELIKE GREEN,1327,0.03289049719922669,3.289
22189,1327,18350,54547.380000000005,1,CREAM HEART CARD HOLDER,1321,0.03274178357210132,3.2742
21975,1341,31481,15330.25,1,PACK OF 60 DINOSAUR CAKE CASES,1315,0.03259306994497596,3.2593
82486,1326,4853,39004.8,2,WOOD S/3 CABINET ANT WHITE FINISH,1312,0.032518713131413274,3.2519
22554,1326,13822,23276.559999999998,1,PLASTERS IN TIN WOODLAND ANIMALS,1307,0.032394785108808805,3.2395
21621,1319,6931,60549.54,1,VINTAGE UNION JACK BUNTING,1304,0.032320428295246124,3.232
48187,1304,7395,47026.85,2,DOORMAT NEW ENGLAND,1302,0.032270857086204335,3.2271
22865,1336,15471,33394.91,1,HAND WARMER OWL DESIGN,1288,0.03192385862291181,3.1924
22961,1280,18069,28218.239999999998,1,JAM MAKING SET PRINTED,1277,0.031651216973181975,3.1651
84378,1292,11761,15567.38,1,SET OF 3 HEART COOKIE CUTTERS,1276,0.031626431368661084,3.1626
84755,1285,40703,25386.65,1,COLOUR GLASS T-LIGHT HOLDER HANGING,1271,0.03150250334605661,3.1503
22385,1275,17220,32735.2,1,JUMBO BAG SPACEBOY DESIGN,1264,0.03132900411441035,3.1329
22624,1250,3232,28010.170000000002,1,IVORY KITCHEN SCALES,1248,0.03093243444207604,3.0932
21559,1264,8313,20612.52,2,STRAWBERRY LUNCH BOX WITH CUTLERY,1245,0.03085807762851336,3.0858
22558,1245,14263,20136.649999999998,1,CLOTHES PEGS RETROSPOT PACK 24,1235,0.030610221583304415,3.061
47591D,1245,9803,19146.82,2,PINK FAIRY CAKE CHILDRENS APRON,1235,0.030610221583304415,3.061
84029E,1253,11757,47479.83,1,RED WOOLLY HOTTIE WHITE HEART.,1234,0.030585435978783524,3.0585
23203,1242,20485,42030.340000000004,3,JUMBO BAG VINTAGE DOILY,1231,0.03051107916522084,3.0511
82600,1233,12887,26168.760000000002,2,NO SINGING METAL SIGN,1226,0.030387151142616368,3.0387
20718,1229,13481,17730.0,2,RED RETROSPOT SHOPPER BAG,1224,0.03033757993357458,3.0338
22556,1245,13771,22651.23,1,PLASTERS IN TIN CIRCUS PARADE,1223,0.030312794329053684,3.0313
22960,1212,9289,39639.31,1,JAM MAKING SET WITH JARS,1211,0.030015367074802953,3.0015
82484,1208,11046,62778.72,1,WOOD BLACK BOARD ANT WHITE FINISH,1207,0.02991622465671938,2.9916
82583,1224,13008,28324.61,1,HOT BATHS METAL SIGN,1202,0.029792296634114906,2.9792
22952,1225,33719,19775.58,3,60 CAKE CASES VINTAGE CHRISTMAS,1196,0.029643583006989542,2.9644
84997D,1210,11136,43509.29,3,PINK 3 PIECE MINI DOTS CUTLERY SET,1191,0.02951965498438507,2.952
22328,1191,14602,40407.96,2,ROUND SNACK BOXES SET OF 4 FRUITS,1182,0.029296584543697022,2.9297
21210,1185,15243,21948.559999999998,2,SET OF 72 RETROSPOT PAPER DOILIES,1181,0.029271798939176127,2.9272
22367,1184,8153,16060.91,2,CHILDRENS APRON SPACEBOY DESIGN,1179,0.02922222773013434,2.9222
20971,1193,22580,28966.21,1,PINK BLUE FELT CRAFT TRINKET BOX,1178,0.029197442125613444,2.9197
79321,1179,16763,85157.56,1,CHILLI LIGHTS,1173,0.02907351410300897,2.9074
22147,1212,13129,18358.85,1,FELTCRAFT BUTTERFLY HEARTS,1171,0.029023942893967185,2.9024
84970L,1178,17808,17876.45,1,SINGLE HEART ZINC T-LIGHT HOLDER,1171,0.029023942893967185,2.9024
21524,1173,5329,36565.22,3,DOORMAT SPOTTY HOME SWEET HOME,1170,0.02899915728944629,2.8999
22219,1190,9906,9403.859999999999,1,LOVEBIRD HANGING DECORATION WHITE,1169,0.028974371684925396,2.8974
15056N,1175,11546,60663.23,1,EDWARDIAN PARASOL NATURAL,1168,0.028949586080404502,2.895
22557,1191,10598,17797.96,1,PLASTERS IN TIN VINTAGE PAISLEY,1161,0.02877608684875824,2.8776
22866,1212,13723,30323.640000000003,1,HAND WARMER SCOTTY DOG DESIGN,1161,0.02877608684875824,2.8776
82483,1170,5072,30014.440000000002,1,WOOD 2 DRAWER CABINET WHITE FINISH,1161,0.02877608684875824,2.8776
21889,1180,13212,17612.57,1,WOODEN BOX OF DOMINOES,1160,0.028751301244237346,2.8751
21174,1169,9800,19838.71,1,POTTERING IN THE SHED METAL SIGN,1158,0.02870173003519556,2.8702
22867,1190,13426,29484.320000000003,1,HAND WARMER BIRD DESIGN,1156,0.02865215882615377,2.8652
84692,1169,19430,9514.94,1,BOX OF 24 COCKTAIL PARASOLS,1151,0.028528230803549298,2.8528
21523,1147,7046,47194.58,3,DOORMAT FANCY FONT HOME SWEET HOME,1147,0.02842908838546572,2.8429
23298,1161,8466,43148.18,2,SPOTTY BUNTING,1146,0.02840430278094483,2.8404
22909,1173,17684,15760.83,1,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1141,0.028280374758340356,2.828
22352,1144,7172,18067.42,2,LUNCH BOX WITH CUTLERY RETROSPOT,1139,0.028230803549298567,2.8231
85150,1144,8512,20650.38,1,LADIES & GENTLEMEN METAL SIGN,1139,0.028230803549298567,2.8231
84380,1146,10533,14329.03,1,SET OF 3 BUTTERFLY COOKIE CUTTERS,1137,0.028181232340256778,2.8181
22553,1148,8009,13405.509999999998,1,PLASTERS IN TIN SKULLS,1129,0.027982947504089625,2.7983
84997B,1141,9917,39483.88,3,RED 3 PIECE MINI DOTS CUTLERY SET,1126,0.02790859069052694,2.7909
22467,1142,12212,28919.8,1,GUMBALL COAT RACK,1124,0.027859019481485153,2.7859
22659,1146,16838,31142.57,2,LUNCH BOX I LOVE LONDON,1123,0.027834233876964258,2.7834
22585,1168,18288,22847.670000000002,1,PACK OF 6 BIRDY GIFT TAGS,1121,0.02778466266792247,2.7785
22029,1119,17799,7365.65,2,SPACEBOY BIRTHDAY CARD,1116,0.027660734645318,2.7661
22417,1138,21625,11250.09,1,PACK OF 60 SPACEBOY CAKE CASES,1116,0.027660734645318,2.7661
21535,1134,6778,16842.1,2,RED RETROSPOT SMALL MILK JUG,1112,0.02756159222723442,2.7562
22381,1121,9442,19960.07,2,TOY TIDY PINK POLKADOT,1110,0.027512021018192633,2.7512
21481,1121,8537,26925.18,1,FAWN BLUE HOT WATER BOTTLE,1106,0.027412878600109058,2.7413
23209,1114,13170,21418.82,3,LUNCH BAG VINTAGE DOILY,1098,0.0272145937639419,2.7215
21314,1092,11647,25253.850000000002,1,SMALL GLASS HEART TRINKET POT,1086,0.02691716650969117,2.6917
84029G,1103,7307,31927.13,1,KNITTED UNION FLAG HOT WATER BOTTLE,1079,0.026743667278044912,2.6744
22993,1090,12649,16478.48,1,SET OF 4 PANTRY JELLY MOULDS,1073,0.026594953650919545,2.6595
20711,1064,12836,26183.0,1,JUMBO BAG TOYS,1061,0.026297526396668814,2.6298
22835,1065,5524,28455.98,1,HOT WATER BOTTLE I AM SO POORLY,1058,0.02622316958310613,2.6223
21915,1063,38088,44680.05,1,RED HARMONICA IN BOX,1057,0.02619838397858524,2.6198
21936,1062,7823,22818.09,2,RED RETROSPOT PICNIC BAG,1056,0.026173598374064345,2.6174
22113,1075,6020,23031.27,1,GREY HEART HOT WATER BOTTLE,1043,0.02585138551529272,2.5851
84997C,1055,9208,35927.14,3,BLUE 3 PIECE MINI DOTS CUTLERY SET,1040,0.025777028701730036,2.5777
23206,1053,12147,20852.579999999998,1,LUNCH BAG APPLE DESIGN,1036,0.025677886283646457,2.5678
84077,1039,109898,25197.98,1,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1036,0.025677886283646457,2.5678
22698,1040,8194,24377.57,2,PINK REGENCY TEACUP AND SAUCER,1034,0.02562831507460467,2.5628
84988,1036,8393,13059.199999999999,1,SET OF 72 PINK HEART PAPER DOILIES,1032,0.025578743865562883,2.5579
21429,1044,6568,11743.529999999999,1,RED GINGHAM ROSE JEWELLERY BOX,1027,0.02545481584295841,2.5455
22173,1032,5137,15768.95,1,METAL 4 HOOK HANGER FRENCH CHATEAU,1023,0.025355673424874832,2.5356
71459,1025,33457,27090.51,2,HANGING JAM JAR T-LIGHT HOLDER,1023,0.025355673424874832,2.5356
22662,1022,10037,16368.31,1,LUNCH BAG DOLLY GIRL DESIGN,1011,0.0250582461706241,2.5058
22196,1032,6713,6270.2,2,SMALL HEART MEASURING SPOONS,1007,0.024959103752540523,2.4959
21479,1026,6857,34560.68,1,WHITE SKULL HOT WATER BOTTLE,1006,0.02493431814801963,2.4934
22728,1015,6361,24858.52,1,ALARM CLOCK BAKELIKE PINK,1003,0.024859961334456948,2.486
15036,1003,44365,33041.55,1,ASSORTED COLOURS SILK FAN,1002,0.024835175729936054,2.4835
21094,1006,20160,15723.119999999999,1,SET/6 RED SPOTTY PAPER PLATES,1000,0.024785604520894264,2.4786
48185,1004,6855,46050.99,2,DOORMAT FAIRY CAKE,999,0.02476081891637337,2.4761
21908,1004,9839,19479.510000000002,1,CHOCOLATE THIS WAY METAL SIGN,995,0.024661676498289792,2.4662
22297,1015,13871,17926.6,1,HEART IVORY TRELLIS SMALL,994,0.0246368908937689,2.4637
23084,1017,30739,66870.03,1,RABBIT NIGHT LIGHT,994,0.0246368908937689,2.4637
21914,1006,13308,18194.35,1,BLUE HARMONICA IN BOX,993,0.024612105289248006,2.4612
22555,1006,11882,19240.019999999997,2,PLASTERS IN TIN STRONGMAN,991,0.024562534080206217,2.4563
21165,1006,9445,15351.35,1,BEWARE OF THE CAT METAL SIGN,988,0.024488177266643534,2.4488
22082,1006,7427,12504.77,1,RIBBON REEL STRIPES DESIGN,987,0.02446339166212264,2.4463
22625,985,2719,23851.23,1,RED KITCHEN SCALES,985,0.02441382045308085,2.4414
21155,988,6726,16475.41,2,RED RETROSPOT PEG BAG,981,0.024314678034997275,2.4315
20676,986,10620,13279.16,2,RED RETROSPOT BOWL,980,0.02428989243047638,2.429
21172,994,7738,11461.769999999999,1,PARTY METAL SIGN,978,0.02424032122143459,2.424
22348,988,12566,10708.33,2,TEA BAG PLATE RED RETROSPOT,978,0.02424032122143459,2.424
23199,986,14908,30450.690000000002,1,JUMBO BAG APPLES,978,0.02424032122143459,2.424
15056BL,979,9726,49411.71,1,EDWARDIAN PARASOL BLACK,967,0.023967679571704755,2.3968
22150,986,7948,14800.449999999999,1,3 STRIPEY MICE FELTCRAFT,967,0.023967679571704755,2.3968
21533,973,3385,16814.370000000003,2,RETRO SPOT LARGE MILK JUG,965,0.023918108362662966,2.3918
21976,978,14745,7905.88,1,PACK OF 60 MUSHROOM CAKE CASES,963,0.023868537153621177,2.3869
22617,963,4384,21138.14,1,BAKING SET SPACEBOY DESIGN,957,0.02371982352649581,2.372
21217,958,2952,30393.48,2,RED RETROSPOT ROUND CAKE TINS,956,0.02369503792197492,2.3695
85014B,956,6241,31655.97,2,RED RETROSPOT UMBRELLA,956,0.02369503792197492,2.3695
21156,959,9391,17487.36,2,RETROSPOT CHILDRENS APRON,953,0.023620681108412235,2.3621
21035,959,6079,18951.77,2,SET/2 RED RETROSPOT TEA TOWELS,952,0.02359589550389134,2.3596
22502,955,3861,61466.47,2,PICNIC BASKET WICKER SMALL,948,0.023496753085807762,2.3497
21935,948,7209,13353.81,1,SUKI SHOULDER BAG,947,0.023471967481286868,2.3472
22633,992,9498,19521.13,1,HAND WARMER UNION JACK,947,0.023471967481286868,2.3472
72741,948,20113,27820.879999999997,1,GRAND CHOCOLATECANDLE,945,0.02342239627224508,2.3422
85066,952,3128,39173.65,1,CREAM SWEETHEART MINI CHEST,943,0.023372825063203293,2.3373
20975,965,18668,12255.730000000001,2,12 PENCILS SMALL TUBE RED RETROSPOT,938,0.02324889704059882,2.3249
21985,951,25648,9015.56,1,PACK OF 12 HEARTS DESIGN TISSUES,938,0.02324889704059882,2.3249
20750,937,3772,27523.12,2,RED RETROSPOT MINI CASES,932,0.023100183413473453,2.31
21154,950,8396,12100.22,2,RED RETROSPOT OVEN GLOVE,930,0.023050612204431668,2.3051
82581,934,8463,4687.85,1,TOILET METAL SIGN,926,0.02295146978634809,2.2951
85049E,945,6808,9724.45,1,SCANDINAVIAN REDS RIBBONS,925,0.022926684181827195,2.2927
21238,929,9568,8248.68,2,RED RETROSPOT CUP,919,0.022777970554701828,2.2778
22561,938,11771,19740.539999999997,1,WOODEN SCHOOL COLOURING SET,919,0.022777970554701828,2.2778
22568,920,5683,21022.75,1,FELTCRAFT CUSHION OWL,916,0.022703613741139148,2.2704
21218,921,5299,21079.56,1,RED SPOTTY BISCUIT TIN,915,0.022678828136618253,2.2679
22507,917,5694,26626.56,1,MEMO BOARD RETROSPOT DESIGN,915,0.022678828136618253,2.2679
23301,920,8807,16327.349999999999,1,GARDENERS KNEELING PAD KEEP CALM,913,0.022629256927576464,2.2629
22646,920,9253,13151.21,1,CERAMIC STRAWBERRY CAKE MONEY BANK,908,0.02250532890497199,2.2505
22487,909,1645,16549.399999999998,1,WHITE WOOD GARDEN PLANT LADDER,907,0.022480543300451097,2.2481
23201,911,13366,27850.83,1,JUMBO BAG ALPHABET,906,0.022455757695930202,2.2456
21484,917,4764,18949.600000000002,1,CHICK GREY HOT WATER BOTTLE,905,0.02243097209140931,2.2431
21868,908,9235,11383.72,1,POTTING SHED TEA MUG,901,0.022331829673325733,2.2332
22694,913,5115,11532.0,1,WICKER STAR,901,0.022331829673325733,2.2332
22413,904,7037,19937.79,1,METAL SIGN TAKE IT OR LEAVE IT,897,0.022232687255242155,2.2233
47590B,895,5781,29673.430000000004,1,PINK HAPPY BIRTHDAY BUNTING,889,0.022034402419075002,2.2034
21121,896,15639,18930.58,2,SET/10 RED POLKADOT PARTY CANDLES,887,0.021984831210033213,2.1985
47566B,893,6048,27758.06,1,TEA TIME PARTY BUNTING,886,0.02196004560551232,2.196
22621,902,8764,13847.06,1,TRADITIONAL KNITTING NANCY,885,0.021935260000991424,2.1935
22294,918,16923,20962.02,1,HEART FILIGREE DOVE SMALL,884,0.02191047439647053,2.191
22667,889,4990,14014.1,2,RECIPE BOX RETROSPOT,879,0.02178654637386606,2.1787
23202,886,10941,21810.43,1,JUMBO BAG VINTAGE LEAF,879,0.02178654637386606,2.1787
84406B,888,7385,23830.47,1,CREAM CUPID HEARTS COAT HANGER,876,0.021712189560303376,2.1712
20754,881,5157,10604.550000000001,2,RETROSPOT RED WASHING UP GLOVES,875,0.021687403955782482,2.1687
23245,876,6345,31118.550000000003,1,SET OF 3 REGENCY CAKE TINS,873,0.021637832746740693,2.1638
22620,881,8347,11325.05,1,4 TRADITIONAL SPINNING TOPS,865,0.02143954791057354,2.144
22632,891,11166,22334.47,2,HAND WARMER RED RETROSPOT,865,0.02143954791057354,2.144
48184,863,4770,31551.32,2,DOORMAT ENGLISH ROSE,863,0.02138997670153175,2.139
21891,884,12249,15713.0,1,TRADITIONAL WOODEN SKIPPING ROPE,859,0.021290834283448173,2.1291
21086,869,16887,10939.75,1,SET/6 RED SPOTTY PAPER CUPS,858,0.021266048678927278,2.1266
22652,872,10146,17237.23,1,TRAVEL SEWING KIT,858,0.021266048678927278,2.1266
22087,877,8513,25507.120000000003,1,PAPER BUNTING WHITE LACE,857,0.021241263074406384,2.1241
22027,858,11387,4846.87,1,TEA PARTY BIRTHDAY CARD,856,0.02121647746988549,2.1216
22616,871,40106,12747.23,1,PACK OF 12 LONDON TISSUES,854,0.021166906260843703,2.1167
21888,853,3581,14152.84,1,BINGO SET,851,0.02109254944728102,2.1093
22296,872,9855,16260.509999999998,1,HEART IVORY TRELLIS LARGE,851,0.02109254944728102,2.1093
22577,879,14160,7279.889999999999,2,WOODEN HEART CHRISTMAS SCANDINAVIAN,851,0.02109254944728102,2.1093
21527,858,3414,25493.02,2,RED RETROSPOT TRADITIONAL TEAPOT,850,0.021067763842760125,2.1068
20974,879,13493,8883.54,1,12 PENCILS SMALL TUBE SKULL,849,0.02104297823823923,2.1043
21900,863,8458,5622.950000000001,1,"KEY FOB , SHED",849,0.02104297823823923,2.1043
22456,851,4457,21859.23,1,NATURAL SLATE CHALKBOARD LARGE,849,0.02104297823823923,2.1043
22570,851,5795,21542.29,1,FELTCRAFT CUSHION RABBIT,848,0.021018192633718336,2.1018
21912,849,3791,14934.74,1,VINTAGE SNAKES & LADDERS,847,0.02099340702919744,2.0993
22212,858,4100,8839.880000000001,1,FOUR HOOK WHITE LOVEBIRDS,846,0.020968621424676547,2.0969
21892,865,7953,10346.57,1,TRADITIONAL WOODEN CATCH CUP GAME,844,0.020919050215634758,2.0919
71477,854,15719,46519.13,2,COLOUR GLASS. STAR T-LIGHT HOLDER,839,0.02079512219303029,2.0795
22907,862,8727,7314.69,1,PACK OF 20 NAPKINS PANTRY DESIGN,838,0.020770336588509394,2.077
22195,848,5269,9440.099999999999,2,LARGE HEART MEASURING SPOONS,835,0.02069597977494671,2.0696
22722,848,5972,24459.960000000003,1,SET OF 6 SPICE TINS PANTRY DESIGN,835,0.02069597977494671,2.0696
21668,839,10391,13958.039999999999,1,RED STRIPE CERAMIC DRAWER KNOB,831,0.020596837356863133,2.0597
21430,833,4741,18514.2,1,SET/3 RED GINGHAM ROSE STORAGE BOX,830,0.020572051752342238,2.0572
84375,835,7889,16463.22,1,SET OF 20 KIDS COOKIE CUTTERS,828,0.020522480543300452,2.0522
22569,835,5717,20872.46,1,FELTCRAFT CUSHION BUTTERFLY,826,0.020472909334258663,2.0473
22084,835,8870,25453.83,1,PAPER CHAIN KIT EMPIRE,825,0.02044812372973777,2.0448
22273,836,7398,20301.52,1,FELTCRAFT DOLL MOLLY,825,0.02044812372973777,2.0448
22595,834,13008,10964.099999999999,2,GINGHAM HEART DECORATION,824,0.020423338125216874,2.0423
21672,834,11172,14479.91,1,WHITE SPOT RED CERAMIC DRAWER KNOB,822,0.020373766916175085,2.0374
84987,825,8150,11890.9,1,SET OF 36 TEATIME PAPER DOILIES,821,0.02034898131165419,2.0349
22759,838,9523,16176.039999999999,1,SET OF 3 NOTEBOOKS IN PARCEL,820,0.020324195707133296,2.0324
22488,822,6951,11874.22,1,NATURAL SLATE RECTANGLE CHALKBOARD,819,0.0202994101026124,2.0299
21122,830,12601,15280.06,2,SET/10 PINK POLKADOT PARTY CANDLES,818,0.020274624498091507,2.0275
