Invoice,TransactionCopies,SourceSheetCount,UniqueFingerprints,MinimumLineCount,MaximumLineCount,TotalLinesAcrossCopies,MinimumUniqueItemCount,MaximumUniqueItemCount,EarliestTimestamp,LatestTimestamp,MatchingLineCopies,ExactSameTransaction
536466,2,2,1,2,2,4,2,2,2010-12-01 12:23:00,2010-12-01 12:23:00,2,True
536477,2,2,1,14,14,28,14,14,2010-12-01 12:27:00,2010-12-01 12:27:00,14,True
536488,2,2,1,34,34,68,31,31,2010-12-01 12:31:00,2010-12-01 12:31:00,34,True
536500,2,2,1,15,15,30,15,15,2010-12-01 12:35:00,2010-12-01 12:35:00,15,True
536502,2,2,1,5,5,10,5,5,2010-12-01 12:36:00,2010-12-01 12:36:00,5,True
536508,2,2,1,2,2,4,2,2,2010-12-01 12:38:00,2010-12-01 12:38:00,2,True
536514,2,2,1,5,5,10,5,5,2010-12-01 12:40:00,2010-12-01 12:40:00,5,True
536520,2,2,1,71,71,142,69,69,2010-12-01 12:43:00,2010-12-01 12:43:00,71,True
536521,2,2,1,1,1,2,1,1,2010-12-01 12:48:00,2010-12-01 12:48:00,1,True
536522,2,2,1,52,52,104,46,46,2010-12-01 12:49:00,2010-12-01 12:49:00,52,True
536523,2,2,1,12,12,24,12,12,2010-12-01 12:50:00,2010-12-01 12:50:00,12,True
536524,2,2,1,4,4,8,4,4,2010-12-01 12:51:00,2010-12-01 12:51:00,4,True
536525,2,2,1,13,13,26,13,13,2010-12-01 12:54:00,2010-12-01 12:54:00,13,True
536526,2,2,1,9,9,18,9,9,2010-12-01 12:58:00,2010-12-01 12:58:00,9,True
536527,2,2,1,14,14,28,14,14,2010-12-01 13:04:00,2010-12-01 13:04:00,14,True
536528,2,2,1,48,48,96,44,44,2010-12-01 13:17:00,2010-12-01 13:17:00,48,True
536529,2,2,1,9,9,18,9,9,2010-12-01 13:20:00,2010-12-01 13:20:00,9,True
536530,2,2,1,22,22,44,22,22,2010-12-01 13:21:00,2010-12-01 13:21:00,22,True
536531,2,2,1,22,22,44,22,22,2010-12-01 13:23:00,2010-12-01 13:23:00,22,True
536532,2,2,1,73,73,146,73,73,2010-12-01 13:24:00,2010-12-01 13:24:00,73,True
536533,2,2,1,6,6,12,6,6,2010-12-01 13:31:00,2010-12-01 13:31:00,6,True
536534,2,2,1,5,5,10,5,5,2010-12-01 13:33:00,2010-12-01 13:33:00,5,True
536535,2,2,1,12,12,24,12,12,2010-12-01 13:38:00,2010-12-01 13:38:00,12,True
536536,2,2,1,3,3,6,3,3,2010-12-01 13:45:00,2010-12-01 13:45:00,3,True
536537,2,2,1,11,11,22,11,11,2010-12-01 13:51:00,2010-12-01 13:51:00,11,True
536538,2,2,1,31,31,62,31,31,2010-12-01 13:54:00,2010-12-01 13:54:00,31,True
536539,2,2,1,27,27,54,27,27,2010-12-01 14:03:00,2010-12-01 14:03:00,27,True
536540,2,2,1,19,19,38,19,19,2010-12-01 14:05:00,2010-12-01 14:05:00,19,True
536541,2,2,1,1,1,2,1,1,2010-12-01 14:05:00,2010-12-01 14:05:00,1,True
536542,2,2,1,16,16,32,16,16,2010-12-01 14:11:00,2010-12-01 14:11:00,16,True
536544,2,2,1,526,526,1052,522,522,2010-12-01 14:32:00,2010-12-01 14:32:00,526,True
536551,2,2,1,31,31,62,29,29,2010-12-01 14:34:00,2010-12-01 14:34:00,31,True
536555,2,2,1,2,2,4,2,2,2010-12-01 14:37:00,2010-12-01 14:37:00,2,True
536556,2,2,1,8,8,16,8,8,2010-12-01 14:38:00,2010-12-01 14:38:00,8,True
536557,2,2,1,64,64,128,62,62,2010-12-01 14:41:00,2010-12-01 14:41:00,64,True
536558,2,2,1,1,1,2,1,1,2010-12-01 14:48:00,2010-12-01 14:48:00,1,True
536559,2,2,1,8,8,16,7,7,2010-12-01 14:54:00,2010-12-01 14:54:00,8,True
536560,2,2,1,13,13,26,13,13,2010-12-01 15:00:00,2010-12-01 15:00:00,13,True
536561,2,2,1,15,15,30,15,15,2010-12-01 15:06:00,2010-12-01 15:06:00,15,True
536562,2,2,1,18,18,36,18,18,2010-12-01 15:08:00,2010-12-01 15:08:00,18,True
536563,2,2,1,9,9,18,9,9,2010-12-01 15:08:00,2010-12-01 15:08:00,9,True
536564,2,2,1,2,2,4,2,2,2010-12-01 15:08:00,2010-12-01 15:08:00,2,True
536565,2,2,1,2,2,4,2,2,2010-12-01 15:15:00,2010-12-01 15:15:00,2,True
536566,2,2,1,6,6,12,6,6,2010-12-01 15:21:00,2010-12-01 15:21:00,6,True
536567,2,2,1,7,7,14,7,7,2010-12-01 15:27:00,2010-12-01 15:27:00,7,True
536568,2,2,1,1,1,2,1,1,2010-12-01 15:28:00,2010-12-01 15:28:00,1,True
536569,2,2,1,63,63,126,63,63,2010-12-01 15:35:00,2010-12-01 15:35:00,63,True
536570,2,2,1,5,5,10,5,5,2010-12-01 15:35:00,2010-12-01 15:35:00,5,True
536571,2,2,1,18,18,36,18,18,2010-12-01 15:37:00,2010-12-01 15:37:00,18,True
536572,2,2,1,21,21,42,21,21,2010-12-01 15:40:00,2010-12-01 15:40:00,21,True
536573,2,2,1,4,4,8,4,4,2010-12-01 15:45:00,2010-12-01 15:45:00,4,True
536574,2,2,1,1,1,2,1,1,2010-12-01 15:46:00,2010-12-01 15:46:00,1,True
536575,2,2,1,8,8,16,8,8,2010-12-01 16:01:00,2010-12-01 16:01:00,8,True
536576,2,2,1,16,16,32,16,16,2010-12-01 16:11:00,2010-12-01 16:11:00,16,True
536577,2,2,1,4,4,8,4,4,2010-12-01 16:13:00,2010-12-01 16:13:00,4,True
536578,2,2,1,8,8,16,8,8,2010-12-01 16:15:00,2010-12-01 16:15:00,8,True
536579,2,2,1,2,2,4,2,2,2010-12-01 16:16:00,2010-12-01 16:16:00,2,True
536580,2,2,1,6,6,12,6,6,2010-12-01 16:17:00,2010-12-01 16:17:00,6,True
536581,2,2,1,1,1,2,1,1,2010-12-01 16:19:00,2010-12-01 16:19:00,1,True
536582,2,2,1,17,17,34,17,17,2010-12-01 16:21:00,2010-12-01 16:21:00,17,True
536583,2,2,1,1,1,2,1,1,2010-12-01 16:21:00,2010-12-01 16:21:00,1,True
536584,2,2,1,1,1,2,1,1,2010-12-01 16:22:00,2010-12-01 16:22:00,1,True
536585,2,2,1,1,1,2,1,1,2010-12-01 16:24:00,2010-12-01 16:24:00,1,True
536586,2,2,1,7,7,14,7,7,2010-12-01 16:25:00,2010-12-01 16:25:00,7,True
536587,2,2,1,22,22,44,22,22,2010-12-01 16:33:00,2010-12-01 16:33:00,22,True
536588,2,2,1,11,11,22,11,11,2010-12-01 16:49:00,2010-12-01 16:49:00,11,True
536590,2,2,1,14,14,28,14,14,2010-12-01 16:52:00,2010-12-01 16:52:00,14,True
536591,2,2,1,40,40,80,40,40,2010-12-01 16:57:00,2010-12-01 16:58:00,40,True
536592,2,2,1,591,591,1182,589,589,2010-12-01 17:06:00,2010-12-01 17:06:00,591,True
536593,2,2,1,5,5,10,5,5,2010-12-01 17:15:00,2010-12-01 17:15:00,5,True
536594,2,2,1,5,5,10,5,5,2010-12-01 17:22:00,2010-12-01 17:22:00,5,True
536595,2,2,1,11,11,22,11,11,2010-12-01 17:24:00,2010-12-01 17:24:00,11,True
536596,2,2,1,6,6,12,6,6,2010-12-01 17:29:00,2010-12-01 17:29:00,6,True
536597,2,2,1,28,28,56,28,28,2010-12-01 17:35:00,2010-12-01 17:35:00,28,True
536598,2,2,1,4,4,8,4,4,2010-12-02 07:48:00,2010-12-02 07:48:00,4,True
536599,2,2,1,6,6,12,6,6,2010-12-02 07:49:00,2010-12-02 07:49:00,6,True
536600,2,2,1,12,12,24,12,12,2010-12-02 08:32:00,2010-12-02 08:32:00,12,True
536601,2,2,1,2,2,4,2,2,2010-12-02 08:33:00,2010-12-02 08:33:00,2,True
536602,2,2,1,12,12,24,12,12,2010-12-02 08:34:00,2010-12-02 08:34:00,12,True
536603,2,2,1,2,2,4,2,2,2010-12-02 08:40:00,2010-12-02 08:40:00,2,True
536604,2,2,1,9,9,18,9,9,2010-12-02 08:43:00,2010-12-02 08:43:00,9,True
536605,2,2,1,15,15,30,15,15,2010-12-02 08:52:00,2010-12-02 08:52:00,15,True
536607,2,2,1,18,18,36,18,18,2010-12-02 09:29:00,2010-12-02 09:29:00,18,True
536608,2,2,1,3,3,6,3,3,2010-12-02 09:37:00,2010-12-02 09:37:00,3,True
536609,2,2,1,16,16,32,16,16,2010-12-02 09:41:00,2010-12-02 09:41:00,16,True
536610,2,2,1,2,2,4,2,2,2010-12-02 09:42:00,2010-12-02 09:42:00,2,True
536611,2,2,1,14,14,28,14,14,2010-12-02 09:43:00,2010-12-02 09:43:00,14,True
536612,2,2,1,15,15,30,15,15,2010-12-02 09:44:00,2010-12-02 09:44:00,15,True
536613,2,2,1,17,17,34,17,17,2010-12-02 09:44:00,2010-12-02 09:44:00,17,True
536614,2,2,1,2,2,4,2,2,2010-12-02 09:44:00,2010-12-02 09:44:00,2,True
536615,2,2,1,12,12,24,12,12,2010-12-02 10:09:00,2010-12-02 10:09:00,12,True
536616,2,2,1,1,1,2,1,1,2010-12-02 10:10:00,2010-12-02 10:10:00,1,True
536617,2,2,1,11,11,22,11,11,2010-12-02 10:17:00,2010-12-02 10:17:00,11,True
536618,2,2,1,21,21,42,21,21,2010-12-02 10:17:00,2010-12-02 10:17:00,21,True
536619,2,2,1,2,2,4,2,2,2010-12-02 10:18:00,2010-12-02 10:18:00,2,True
536620,2,2,1,23,23,46,23,23,2010-12-02 10:27:00,2010-12-02 10:27:00,23,True
536621,2,2,1,10,10,20,10,10,2010-12-02 10:35:00,2010-12-02 10:35:00,10,True
536623,2,2,1,48,48,96,48,48,2010-12-02 10:39:00,2010-12-02 10:39:00,48,True
536624,2,2,1,22,22,44,22,22,2010-12-02 10:45:00,2010-12-02 10:45:00,22,True
536626,2,2,1,1,1,2,1,1,2010-12-02 10:46:00,2010-12-02 10:46:00,1,True
536627,2,2,1,14,14,28,14,14,2010-12-02 10:53:00,2010-12-02 10:53:00,14,True
536628,2,2,1,16,16,32,16,16,2010-12-02 10:54:00,2010-12-02 10:54:00,16,True
536629,2,2,1,2,2,4,2,2,2010-12-02 10:55:00,2010-12-02 10:55:00,2,True
536630,2,2,1,16,16,32,16,16,2010-12-02 10:56:00,2010-12-02 10:56:00,16,True
536631,2,2,1,2,2,4,2,2,2010-12-02 10:58:00,2010-12-02 10:58:00,2,True
536632,2,2,1,21,21,42,21,21,2010-12-02 11:02:00,2010-12-02 11:02:00,21,True
536633,2,2,1,18,18,36,18,18,2010-12-02 11:20:00,2010-12-02 11:20:00,18,True
536634,2,2,1,14,14,28,14,14,2010-12-02 11:21:00,2010-12-02 11:21:00,14,True
536635,2,2,1,20,20,40,20,20,2010-12-02 11:22:00,2010-12-02 11:22:00,20,True
536636,2,2,1,1,1,2,1,1,2010-12-02 11:23:00,2010-12-02 11:23:00,1,True
536637,2,2,1,59,59,118,55,55,2010-12-02 11:35:00,2010-12-02 11:35:00,59,True
536638,2,2,1,63,63,126,63,63,2010-12-02 11:41:00,2010-12-02 11:41:00,63,True
536639,2,2,1,16,16,32,16,16,2010-12-02 11:45:00,2010-12-02 11:45:00,16,True
536640,2,2,1,11,11,22,11,11,2010-12-02 11:45:00,2010-12-02 11:45:00,11,True
536641,2,2,1,1,1,2,1,1,2010-12-02 11:46:00,2010-12-02 11:46:00,1,True
536643,2,2,1,27,27,54,26,26,2010-12-02 11:57:00,2010-12-02 11:57:00,27,True
536663,2,2,1,6,6,12,6,6,2010-12-02 12:07:00,2010-12-02 12:07:00,6,True
536667,2,2,1,16,16,32,16,16,2010-12-02 12:09:00,2010-12-02 12:09:00,16,True
536670,2,2,1,1,1,2,1,1,2010-12-02 12:09:00,2010-12-02 12:09:00,1,True
536671,2,2,1,5,5,10,5,5,2010-12-02 12:10:00,2010-12-02 12:10:00,5,True
536672,2,2,1,4,4,8,4,4,2010-12-02 12:10:00,2010-12-02 12:10:00,4,True
536673,2,2,1,8,8,16,8,8,2010-12-02 12:11:00,2010-12-02 12:11:00,8,True
536674,2,2,1,21,21,42,21,21,2010-12-02 12:16:00,2010-12-02 12:16:00,21,True
536676,2,2,1,9,9,18,9,9,2010-12-02 12:18:00,2010-12-02 12:18:00,9,True
536681,2,2,1,13,13,26,13,13,2010-12-02 12:22:00,2010-12-02 12:22:00,13,True
536685,2,2,1,17,17,34,17,17,2010-12-02 12:23:00,2010-12-02 12:23:00,17,True
536688,2,2,1,2,2,4,2,2,2010-12-02 12:24:00,2010-12-02 12:24:00,2,True
536690,2,2,1,17,17,34,17,17,2010-12-02 12:25:00,2010-12-02 12:25:00,17,True
536693,2,2,1,2,2,4,2,2,2010-12-02 12:26:00,2010-12-02 12:26:00,2,True
536698,2,2,1,16,16,32,16,16,2010-12-02 12:28:00,2010-12-02 12:28:00,16,True
536707,2,2,1,13,13,26,13,13,2010-12-02 12:33:00,2010-12-02 12:33:00,13,True
536732,2,2,1,26,26,52,26,26,2010-12-02 12:47:00,2010-12-02 12:47:00,26,True
536733,2,2,1,14,14,28,14,14,2010-12-02 12:50:00,2010-12-02 12:50:00,14,True
536735,2,2,1,1,1,2,1,1,2010-12-02 12:58:00,2010-12-02 12:58:00,1,True
536736,2,2,1,5,5,10,5,5,2010-12-02 12:59:00,2010-12-02 12:59:00,5,True
536738,2,2,1,7,7,14,7,7,2010-12-02 13:06:00,2010-12-02 13:06:00,7,True
536739,2,2,1,12,12,24,12,12,2010-12-02 13:08:00,2010-12-02 13:08:00,12,True
536740,2,2,1,7,7,14,7,7,2010-12-02 13:08:00,2010-12-02 13:08:00,7,True
536741,2,2,1,15,15,30,15,15,2010-12-02 13:11:00,2010-12-02 13:11:00,15,True
536742,2,2,1,49,49,98,48,48,2010-12-02 13:14:00,2010-12-02 13:14:00,49,True
536743,2,2,1,35,35,70,35,35,2010-12-02 13:32:00,2010-12-02 13:32:00,35,True
536744,2,2,1,10,10,20,10,10,2010-12-02 13:36:00,2010-12-02 13:36:00,10,True
536745,2,2,1,10,10,20,10,10,2010-12-02 13:38:00,2010-12-02 13:38:00,10,True
536746,2,2,1,13,13,26,13,13,2010-12-02 13:39:00,2010-12-02 13:39:00,13,True
536747,2,2,1,12,12,24,12,12,2010-12-02 13:44:00,2010-12-02 13:44:00,12,True
536748,2,2,1,5,5,10,5,5,2010-12-02 13:45:00,2010-12-02 13:45:00,5,True
536749,2,2,1,57,57,114,56,56,2010-12-02 13:49:00,2010-12-02 13:49:00,57,True
536750,2,2,1,19,19,38,19,19,2010-12-02 14:04:00,2010-12-02 14:04:00,19,True
536751,2,2,1,2,2,4,2,2,2010-12-02 14:05:00,2010-12-02 14:05:00,2,True
536752,2,2,1,19,19,38,19,19,2010-12-02 14:06:00,2010-12-02 14:06:00,19,True
536753,2,2,1,2,2,4,2,2,2010-12-02 14:07:00,2010-12-02 14:07:00,2,True
536754,2,2,1,50,50,100,50,50,2010-12-02 14:09:00,2010-12-02 14:09:00,50,True
536755,2,2,1,15,15,30,15,15,2010-12-02 14:14:00,2010-12-02 14:14:00,15,True
536756,2,2,1,19,19,38,19,19,2010-12-02 14:23:00,2010-12-02 14:23:00,19,True
536759,2,2,1,17,17,34,17,17,2010-12-02 14:26:00,2010-12-02 14:26:00,17,True
536761,2,2,1,7,7,14,7,7,2010-12-02 14:30:00,2010-12-02 14:30:00,7,True
536762,2,2,1,20,20,40,20,20,2010-12-02 14:40:00,2010-12-02 14:40:00,20,True
536763,2,2,1,12,12,24,12,12,2010-12-02 14:42:00,2010-12-02 14:42:00,12,True
536769,2,2,1,31,31,62,31,31,2010-12-02 14:47:00,2010-12-02 14:47:00,31,True
536771,2,2,1,7,7,14,7,7,2010-12-02 14:49:00,2010-12-02 14:49:00,7,True
536777,2,2,1,5,5,10,5,5,2010-12-02 15:00:00,2010-12-02 15:00:00,5,True
536778,2,2,1,14,14,28,14,14,2010-12-02 15:03:00,2010-12-02 15:03:00,14,True
536780,2,2,1,4,4,8,4,4,2010-12-02 15:09:00,2010-12-02 15:09:00,4,True
536781,2,2,1,1,1,2,1,1,2010-12-02 15:14:00,2010-12-02 15:14:00,1,True
536782,2,2,1,27,27,54,27,27,2010-12-02 15:18:00,2010-12-02 15:18:00,27,True
536783,2,2,1,38,38,76,38,38,2010-12-02 15:19:00,2010-12-02 15:19:00,38,True
536784,2,2,1,25,25,50,25,25,2010-12-02 15:20:00,2010-12-02 15:20:00,25,True
536785,2,2,1,6,6,12,6,6,2010-12-02 15:22:00,2010-12-02 15:22:00,6,True
536786,2,2,1,2,2,4,2,2,2010-12-02 15:23:00,2010-12-02 15:23:00,2,True
536787,2,2,1,13,13,26,13,13,2010-12-02 15:24:00,2010-12-02 15:24:00,13,True
536788,2,2,1,1,1,2,1,1,2010-12-02 15:25:00,2010-12-02 15:25:00,1,True
536789,2,2,1,2,2,4,2,2,2010-12-02 15:25:00,2010-12-02 15:25:00,2,True
536790,2,2,1,17,17,34,17,17,2010-12-02 15:26:00,2010-12-02 15:26:00,17,True
536791,2,2,1,2,2,4,2,2,2010-12-02 15:27:00,2010-12-02 15:27:00,2,True
536792,2,2,1,1,1,2,1,1,2010-12-02 15:28:00,2010-12-02 15:28:00,1,True
536793,2,2,1,11,11,22,11,11,2010-12-02 15:39:00,2010-12-02 15:39:00,11,True
536794,2,2,1,4,4,8,4,4,2010-12-02 15:40:00,2010-12-02 15:40:00,4,True
536795,2,2,1,7,7,14,7,7,2010-12-02 15:40:00,2010-12-02 15:40:00,7,True
536796,2,2,1,105,105,210,96,96,2010-12-02 15:46:00,2010-12-02 15:46:00,105,True
536797,2,2,1,6,6,12,6,6,2010-12-02 15:49:00,2010-12-02 15:49:00,6,True
536798,2,2,1,29,29,58,29,29,2010-12-02 15:55:00,2010-12-02 15:55:00,29,True
536799,2,2,1,18,18,36,18,18,2010-12-02 16:00:00,2010-12-02 16:00:00,18,True
536800,2,2,1,19,19,38,19,19,2010-12-02 16:12:00,2010-12-02 16:12:00,19,True
536801,2,2,1,14,14,28,14,14,2010-12-02 16:12:00,2010-12-02 16:12:00,14,True
536802,2,2,1,8,8,16,8,8,2010-12-02 16:29:00,2010-12-02 16:29:00,8,True
536803,2,2,1,1,1,2,1,1,2010-12-02 16:33:00,2010-12-02 16:33:00,1,True
536804,2,2,1,25,25,50,25,25,2010-12-02 16:34:00,2010-12-02 16:34:00,25,True
536805,2,2,1,20,20,40,20,20,2010-12-02 16:38:00,2010-12-02 16:38:00,20,True
536806,2,2,1,5,5,10,5,5,2010-12-02 16:42:00,2010-12-02 16:42:00,5,True
536808,2,2,1,12,12,24,12,12,2010-12-02 16:46:00,2010-12-02 16:46:00,12,True
536809,2,2,1,1,1,2,1,1,2010-12-02 16:48:00,2010-12-02 16:48:00,1,True
536810,2,2,1,1,1,2,1,1,2010-12-02 16:50:00,2010-12-02 16:50:00,1,True
536811,2,2,1,1,1,2,1,1,2010-12-02 16:51:00,2010-12-02 16:51:00,1,True
536813,2,2,1,17,17,34,17,17,2010-12-02 16:59:00,2010-12-02 16:59:00,17,True
536819,2,2,1,17,17,34,17,17,2010-12-02 17:12:00,2010-12-02 17:12:00,17,True
536821,2,2,1,23,23,46,23,23,2010-12-02 17:17:00,2010-12-02 17:17:00,23,True
536823,2,2,1,3,3,6,3,3,2010-12-02 17:22:00,2010-12-02 17:22:00,3,True
536824,2,2,1,1,1,2,1,1,2010-12-02 17:24:00,2010-12-02 17:24:00,1,True
536830,2,2,1,2,2,4,2,2,2010-12-02 17:38:00,2010-12-02 17:38:00,2,True
536831,2,2,1,4,4,8,4,4,2010-12-02 17:40:00,2010-12-02 17:40:00,4,True
536832,2,2,1,8,8,16,8,8,2010-12-02 17:41:00,2010-12-02 17:41:00,8,True
536833,2,2,1,29,29,58,29,29,2010-12-02 17:48:00,2010-12-02 17:48:00,29,True
536834,2,2,1,1,1,2,1,1,2010-12-02 17:51:00,2010-12-02 17:51:00,1,True
536835,2,2,1,1,1,2,1,1,2010-12-02 18:06:00,2010-12-02 18:06:00,1,True
536836,2,2,1,27,27,54,26,26,2010-12-02 18:08:00,2010-12-02 18:08:00,27,True
536837,2,2,1,27,27,54,27,27,2010-12-02 18:15:00,2010-12-02 18:15:00,27,True
536838,2,2,1,3,3,6,3,3,2010-12-02 18:23:00,2010-12-02 18:23:00,3,True
536839,2,2,1,16,16,32,16,16,2010-12-02 18:25:00,2010-12-02 18:25:00,16,True
536840,2,2,1,10,10,20,10,10,2010-12-02 18:27:00,2010-12-02 18:27:00,10,True
536841,2,2,1,22,22,44,22,22,2010-12-02 18:27:00,2010-12-02 18:27:00,22,True
536842,2,2,1,11,11,22,11,11,2010-12-02 18:45:00,2010-12-02 18:45:00,11,True
536843,2,2,1,2,2,4,2,2,2010-12-02 18:46:00,2010-12-02 18:46:00,2,True
536844,2,2,1,3,3,6,3,3,2010-12-02 18:49:00,2010-12-02 18:49:00,3,True
536845,2,2,1,29,29,58,28,28,2010-12-02 19:18:00,2010-12-02 19:18:00,29,True
536846,2,2,1,70,70,140,68,68,2010-12-02 19:59:00,2010-12-02 19:59:00,70,True
536847,2,2,1,9,9,18,9,9,2010-12-03 09:31:00,2010-12-03 09:31:00,9,True
536848,2,2,1,3,3,6,3,3,2010-12-03 09:39:00,2010-12-03 09:39:00,3,True
536849,2,2,1,3,3,6,3,3,2010-12-03 09:45:00,2010-12-03 09:45:00,3,True
536851,2,2,1,15,15,30,15,15,2010-12-03 09:49:00,2010-12-03 09:49:00,15,True
536852,2,2,1,6,6,12,6,6,2010-12-03 09:51:00,2010-12-03 09:51:00,6,True
536856,2,2,1,39,39,78,39,39,2010-12-03 10:26:00,2010-12-03 10:26:00,39,True
536857,2,2,1,17,17,34,17,17,2010-12-03 10:33:00,2010-12-03 10:33:00,17,True
536858,2,2,1,5,5,10,5,5,2010-12-03 10:36:00,2010-12-03 10:36:00,5,True
536859,2,2,1,24,24,48,24,24,2010-12-03 10:43:00,2010-12-03 10:43:00,24,True
536860,2,2,1,10,10,20,10,10,2010-12-03 10:43:00,2010-12-03 10:43:00,10,True
536861,2,2,1,9,9,18,9,9,2010-12-03 10:44:00,2010-12-03 10:44:00,9,True
536862,2,2,1,80,80,160,80,80,2010-12-03 11:13:00,2010-12-03 11:13:00,80,True
