Invoice,Fingerprint,TransactionCopies,SourceSheetCount,RowsPerCopy,UniqueItemsPerCopy,InvoiceStart,InvoiceEnd,RedundantTransactionCopies,RedundantRows
536407,29356fe28fef6fb5a38b0fb9e97f5b6f5644522c0d63bbfaa2a04959ab13af83,2,2,2,2,2010-12-01 11:34:00,2010-12-01 11:34:00,1,2
536408,94434db41ab1d06f2bd1fa3455e2e9a2e19fb9b0d472d01f14511e8d48aeafa0,2,2,48,48,2010-12-01 11:41:00,2010-12-01 11:41:00,1,48
536409,d53608aba24ab3834997b2246ff48dd4a1ec2b41f65c4d616e81e31c274e0784,2,2,54,51,2010-12-01 11:45:00,2010-12-01 11:45:00,1,54
536412,73b1f98c0449875374cd58c405c0df664a37c6170f11cf7cc11cb9bc416a5c05,2,2,68,54,2010-12-01 11:49:00,2010-12-01 11:49:00,1,68
536415,b52d5f4c9684487090e9ec323030a156bc2a56752586787955fec5bd4343205c,2,2,59,59,2010-12-01 11:57:00,2010-12-01 11:57:00,1,59
536416,ba6d0b105695e5309604a5232c606e3bda3800247f97ec6ee878561928d2f412,2,2,6,6,2010-12-01 11:58:00,2010-12-01 11:58:00,1,6
536420,60e914ad370c0cd0107352ac518d605e0f86623f3a5dedc2ac3aad833b761ffe,2,2,14,14,2010-12-01 12:03:00,2010-12-01 12:03:00,1,14
536423,a0f6648da715ad0e9158000a7d35329c5c8e5c7385a811eb1496ee81ef01831f,2,2,9,9,2010-12-01 12:08:00,2010-12-01 12:08:00,1,9
536425,a4e03df23c02c4bd3339f686287b5e5f9f605ce6c5981b9cf027f9883985cc5e,2,2,17,17,2010-12-01 12:08:00,2010-12-01 12:08:00,1,17
536437,dd694c0b20a075725febf744a28c8d124710383df5f96a5a286b44b66bbca206,2,2,6,6,2010-12-01 12:12:00,2010-12-01 12:12:00,1,6
536446,36fdff24986903b0d4f670d8bd209f2979b55096225c582e06d42f1208213356,2,2,31,28,2010-12-01 12:15:00,2010-12-01 12:15:00,1,31
536460,f99e6c90e7bc5ab71d621a554f92fea324f6d79bb8c571e0ef23e9c95c0a3be6,2,2,14,14,2010-12-01 12:22:00,2010-12-01 12:22:00,1,14
536463,474fce67285a988997425b8957b8deb8e9cd926e9ab3ea05eb87187fbe327858,2,2,1,1,2010-12-01 12:22:00,2010-12-01 12:22:00,1,1
536464,7e2437f59844589bdb702b54ce8126944fa7102da3bea50e0f52945632fa134e,2,2,81,74,2010-12-01 12:23:00,2010-12-01 12:23:00,1,81
536466,1deb508ec5d4523b879140ef466315f5147f13a330c3fab0f54d2c2472171199,2,2,2,2,2010-12-01 12:23:00,2010-12-01 12:23:00,1,2
536477,a03d6c50980d149a3fee8aed0da3fe55eddcd5bb0d092b063441b574bba6cb3d,2,2,14,14,2010-12-01 12:27:00,2010-12-01 12:27:00,1,14
536488,4d5a6146c7349a334afbb96c9c199b52162522728b1d1c2a4e566e52cfc911a5,2,2,34,31,2010-12-01 12:31:00,2010-12-01 12:31:00,1,34
536500,7194299c6381075da7cf22041e32218e94891dd645b62d5db4c25e26e0a986bf,2,2,15,15,2010-12-01 12:35:00,2010-12-01 12:35:00,1,15
536502,d87b6a0bbd278e347c80814002d9e4a6d230d737349917a72a4b7cf136553307,2,2,5,5,2010-12-01 12:36:00,2010-12-01 12:36:00,1,5
536508,1923d579211aad29caa26301b964420a2573ead6defa9c5e6da0b5effdf34e39,2,2,2,2,2010-12-01 12:38:00,2010-12-01 12:38:00,1,2
536514,fc974fe8d671794065b7431b0d347758cc902d3d7ed5daebf48e4ced8b8741c0,2,2,5,5,2010-12-01 12:40:00,2010-12-01 12:40:00,1,5
536520,465ede9b9f0c08627eedfc6bfbcaa5973c84372070b115b99b9900457571613b,2,2,71,69,2010-12-01 12:43:00,2010-12-01 12:43:00,1,71
536521,b9cd68fe3535cb504c948460a3d6afa4c0bd08c5fbac1a072720b12fec18d9f1,2,2,1,1,2010-12-01 12:48:00,2010-12-01 12:48:00,1,1
536522,d9ba46a79fc963db3799c73f6fea2fe220528898cc838dba7a3be388247dde2c,2,2,52,46,2010-12-01 12:49:00,2010-12-01 12:49:00,1,52
536523,f1cf16f614f829f4c58263459be6d0182f799dc6c60bb380129957b23a0c39ba,2,2,12,12,2010-12-01 12:50:00,2010-12-01 12:50:00,1,12
536524,594742ba13b13ca18cd3554eae1956a7bac89bce61a8f7283cbe9f1809883dce,2,2,4,4,2010-12-01 12:51:00,2010-12-01 12:51:00,1,4
536525,b17a2e1a28e9ad630c55583828f98b056518cba82ca7d7f2d8f42371775ef146,2,2,13,13,2010-12-01 12:54:00,2010-12-01 12:54:00,1,13
536526,185e62e6204cf78b73d1099b7eda21c6385d68cb55c27de63660b826e4656d19,2,2,9,9,2010-12-01 12:58:00,2010-12-01 12:58:00,1,9
536527,05bffa200ce7058b8241970344b8402c4d8044dae8f3f2a542fae2cdf08adbcc,2,2,14,14,2010-12-01 13:04:00,2010-12-01 13:04:00,1,14
536528,2a5c99a11128366fdddfa502aabdf40f6a7517ce5028b24ee2e85a746fd3897a,2,2,48,44,2010-12-01 13:17:00,2010-12-01 13:17:00,1,48
536529,3730a3a40412f4f30a21c800c38f447ebc1f4ee49b7f55e3c194cb2d59e55579,2,2,9,9,2010-12-01 13:20:00,2010-12-01 13:20:00,1,9
536530,371d50ace366cf859ca14f6db28d81814b5deb9102cb95db1e2fe03c2fec3294,2,2,22,22,2010-12-01 13:21:00,2010-12-01 13:21:00,1,22
536531,84033054efe1691058fbbf53d7cb3a0412fc4405c9f3681f6e701c5d81015996,2,2,22,22,2010-12-01 13:23:00,2010-12-01 13:23:00,1,22
536532,4e01f2ada646971c78ad3fddaaaab4fceae8152e501882c1b731a03e4cb8e318,2,2,73,73,2010-12-01 13:24:00,2010-12-01 13:24:00,1,73
536533,f45ed6d718321a6d6768fddb7b1356ea02574df8be6d9317f6dec33f6291c431,2,2,6,6,2010-12-01 13:31:00,2010-12-01 13:31:00,1,6
536534,471fba2a438ec058272d4723e9ba99ce9a4401ed848457b9c6ad611c729ebd7a,2,2,5,5,2010-12-01 13:33:00,2010-12-01 13:33:00,1,5
536535,9540fe40b9bc17f330c0c892f4d50995d8f55e25d400d3473bab25f73a487533,2,2,12,12,2010-12-01 13:38:00,2010-12-01 13:38:00,1,12
536536,cd2ca65b9222777d1eec6d336599ca6d17ace1ede0bb385db5e99006d938f5c9,2,2,3,3,2010-12-01 13:45:00,2010-12-01 13:45:00,1,3
536537,589cbb5cf6bcde85ca9783beac0cb442cbe31a36e281346ab1d796757ca497ae,2,2,11,11,2010-12-01 13:51:00,2010-12-01 13:51:00,1,11
536538,d8d874db30e7da39340d5880abedff65c8f2fc94483ed95e43bcaf04c8e65a8f,2,2,31,31,2010-12-01 13:54:00,2010-12-01 13:54:00,1,31
536539,4e2dd78ebe6a9135bd20b9d4209de92d3f59275fa6011a44f7d1e643fa7ad183,2,2,27,27,2010-12-01 14:03:00,2010-12-01 14:03:00,1,27
536540,c95258955a02c57d11b521775001df8118abbbf8078ab0320f0de54fe263fa7b,2,2,19,19,2010-12-01 14:05:00,2010-12-01 14:05:00,1,19
536541,94495a7995a9d495b77744cf6b1d3f42b4e7522b2d3eb498a62c2d5495ae5f64,2,2,1,1,2010-12-01 14:05:00,2010-12-01 14:05:00,1,1
536542,180c8b3a6b459f0a4d55bd6ab6cb357ea385cc614d6289676c8e72ebbff1eab5,2,2,16,16,2010-12-01 14:11:00,2010-12-01 14:11:00,1,16
536544,c67c2c6bced4321183a0ee2a82be24ded8d63000557968bc473d85412d4567e3,2,2,526,522,2010-12-01 14:32:00,2010-12-01 14:32:00,1,526
536551,811fc87a1a31f28303602fc09d859b8d5c296322b859a3b09a955f71a6bf0d12,2,2,31,29,2010-12-01 14:34:00,2010-12-01 14:34:00,1,31
536555,87a9ceacca0741d33b09e3926ac16e138c1a3f1ad537685da9e1475cc74517fd,2,2,2,2,2010-12-01 14:37:00,2010-12-01 14:37:00,1,2
536556,cb1d4ff93fae05e0b012b19980a197f266100c0d8a2b80f661e86797e321c98b,2,2,8,8,2010-12-01 14:38:00,2010-12-01 14:38:00,1,8
536557,43fb111d5f117aabde0906b5245f8977b8a753c34892edd2cac88aaa85f1caa6,2,2,64,62,2010-12-01 14:41:00,2010-12-01 14:41:00,1,64
536558,3a13e800a987e364b00244520f462f3a8f194b2c9c9dfcb27bd8e9e411302fe9,2,2,1,1,2010-12-01 14:48:00,2010-12-01 14:48:00,1,1
536559,222df57d1dd99a9f6b5d7de149506f4d14d1d1e550683013f84cde819b043838,2,2,8,7,2010-12-01 14:54:00,2010-12-01 14:54:00,1,8
536560,b92d16b009ba133c1812d5b6acf38089063ff16519aa6193e7f12a6712f757fb,2,2,13,13,2010-12-01 15:00:00,2010-12-01 15:00:00,1,13
536561,89fe8a6b003f42906ba0777eedc0af369dfc3e2c6b99f37b0f04c8265dfe756f,2,2,15,15,2010-12-01 15:06:00,2010-12-01 15:06:00,1,15
536562,e52befe6bd7e7b0b33997e0b82de76600398950f2b807ffa38195bb4d7077a17,2,2,18,18,2010-12-01 15:08:00,2010-12-01 15:08:00,1,18
536563,77c9fefefd52b39a13d632f82b6df5baf1870681e5329dc93e8b07f0f7df498a,2,2,9,9,2010-12-01 15:08:00,2010-12-01 15:08:00,1,9
536564,0da0c13c18189733d3bb5b84ef959e7f1d19f34a9066e89e7fa984b1516e26fb,2,2,2,2,2010-12-01 15:08:00,2010-12-01 15:08:00,1,2
536565,72c5c45e1bc73ce089c62af7163d517ea74c3426222fc81e63e541c1dc90aa7f,2,2,2,2,2010-12-01 15:15:00,2010-12-01 15:15:00,1,2
536566,f5a231164d46a8c77bea4394bb42bbc8dcf80d87e1ec5f143c4753bd45b3222f,2,2,6,6,2010-12-01 15:21:00,2010-12-01 15:21:00,1,6
536567,52763d3a4f03e0e1de6836b4a57a1c2f4670e636a19f5c806f0a8569b8eadac5,2,2,7,7,2010-12-01 15:27:00,2010-12-01 15:27:00,1,7
536568,97edda025b74fa840b1f3b2881291c3994c2195f7b889a01ebd0092aff25f955,2,2,1,1,2010-12-01 15:28:00,2010-12-01 15:28:00,1,1
536569,19e3437799be823efb75c6e7753bf1465b23f639d8cb52777341e9f05ad81a73,2,2,63,63,2010-12-01 15:35:00,2010-12-01 15:35:00,1,63
536570,61ff8ee16d24e70b88f44b48a5edbf6f25759503e19f868efb3b8b05e603ce6c,2,2,5,5,2010-12-01 15:35:00,2010-12-01 15:35:00,1,5
536571,464049018807b23a4ef568a9ec9de702f8b09ac137eff6ee47e379ab7cab3c87,2,2,18,18,2010-12-01 15:37:00,2010-12-01 15:37:00,1,18
536572,ac881f3efae8c6cf6c25b8847052432e4799492ef99f1668bcd0e577ab355d5a,2,2,21,21,2010-12-01 15:40:00,2010-12-01 15:40:00,1,21
536573,3f63dd87499c5bb5358a83266bf9f13f2a09acbe69bf7dab6cb7d05c10f6cf5e,2,2,4,4,2010-12-01 15:45:00,2010-12-01 15:45:00,1,4
536574,1e8b7b6053629f47172ff457b0dda1cbc615f1ce08df22a1fccaa9c60b45c96b,2,2,1,1,2010-12-01 15:46:00,2010-12-01 15:46:00,1,1
536575,26b5f5b1e3b065cbe8c530b1bb70d703317408d9302996fd96201a73f4c1112d,2,2,8,8,2010-12-01 16:01:00,2010-12-01 16:01:00,1,8
536576,5a01c2cdc18dc8b284bbf1ac71f45decccf9fe0f47610b451b6a975d10bef187,2,2,16,16,2010-12-01 16:11:00,2010-12-01 16:11:00,1,16
536577,794a317c8060cc2c41d24c40ca11ff3270a3014b1cb0093146050c6c5fe1ec9f,2,2,4,4,2010-12-01 16:13:00,2010-12-01 16:13:00,1,4
536578,4b8c5fa879b67ccb9cc00cec19b252b0533993562a1d90c3e174c30a6f3bb99c,2,2,8,8,2010-12-01 16:15:00,2010-12-01 16:15:00,1,8
536579,80d0f278221461813c468b9be71929de187a10e176ce47c1e9f587e5a2fb27c1,2,2,2,2,2010-12-01 16:16:00,2010-12-01 16:16:00,1,2
536580,5fd5f8bacbcd4f9308cf6bea661c97b4d10039caffe0868749c2805b1f0550b9,2,2,6,6,2010-12-01 16:17:00,2010-12-01 16:17:00,1,6
536581,7988430fb872299547bb5978f951272f25a7cf12c0ad230ca8c394cfc2a7b8c8,2,2,1,1,2010-12-01 16:19:00,2010-12-01 16:19:00,1,1
536582,407eec517f55d7aa11e6126ec85d13914840a2be9f6df4fcb1aab1fb35570e76,2,2,17,17,2010-12-01 16:21:00,2010-12-01 16:21:00,1,17
536583,fee730f9b5daa8d3cb9165d841a1c243c359929ef1bcc6c74fa0a8b7bd918f64,2,2,1,1,2010-12-01 16:21:00,2010-12-01 16:21:00,1,1
536584,3179e24ee6a62c2be73e991e8a3d1269ef0d93494541787770d7f61a17198e0f,2,2,1,1,2010-12-01 16:22:00,2010-12-01 16:22:00,1,1
536585,b5687f6732b445250ed79b23fe69d09d7ef12ed7409404a7908abd5631f96ed4,2,2,1,1,2010-12-01 16:24:00,2010-12-01 16:24:00,1,1
536586,1a403bc243c768ccbd9fb4fb0814a58647a60d9986043c3ee79c9a78fc33c3d5,2,2,7,7,2010-12-01 16:25:00,2010-12-01 16:25:00,1,7
536587,1e3a998f9dd1255391cf99ad13f3e55b74d69d684e707112c6e8fb6cded99b0c,2,2,22,22,2010-12-01 16:33:00,2010-12-01 16:33:00,1,22
536588,0b53c7904550621c25b9d9cd53cf9aaf5bf85d177e38a8b013b4d92affc4b609,2,2,11,11,2010-12-01 16:49:00,2010-12-01 16:49:00,1,11
536590,4e5cd027709fdc9f831157395d783622ac1d1dbce12a85e696ec11ef3376736e,2,2,14,14,2010-12-01 16:52:00,2010-12-01 16:52:00,1,14
536591,cb5e42ef4e60c1a07a3444526fda236996c56b9c741964234ee394b5ebb77951,2,2,40,40,2010-12-01 16:57:00,2010-12-01 16:58:00,1,40
536592,39241e15612a674d60feaf8f831a2eb20ea32b8ba91769699d9cdb5abf741e44,2,2,591,589,2010-12-01 17:06:00,2010-12-01 17:06:00,1,591
536593,96bb01dc770ef01236e898c277fc25a1bbbd792f8bb1e308ef7014187d8e7b44,2,2,5,5,2010-12-01 17:15:00,2010-12-01 17:15:00,1,5
536594,29667f0b4641824a9479c4f22f94def2c2d52b471c209fedbee1c583609bd9e2,2,2,5,5,2010-12-01 17:22:00,2010-12-01 17:22:00,1,5
536595,6ad24ad334a182972e3297a88f60fa17cccc2e9361a5a9b7806b51fbea8d6ba8,2,2,11,11,2010-12-01 17:24:00,2010-12-01 17:24:00,1,11
536596,54ec774926bff16253bfe53077555252bdb1c993b7977fee365a91ce61cc29af,2,2,6,6,2010-12-01 17:29:00,2010-12-01 17:29:00,1,6
536597,f82ba66193dba7e772d877eb2ee8169a4e9d0d38b0cdb091a5f6285f7d2644d1,2,2,28,28,2010-12-01 17:35:00,2010-12-01 17:35:00,1,28
536598,6efdb205d2ef458adbcad581bb2782e0fd9fa8f7a65803ebdf62970266583f2c,2,2,4,4,2010-12-02 07:48:00,2010-12-02 07:48:00,1,4
536599,fb5a47d8ff78315615737d493f5bae79e99030a6a657c1b9ead2eed68fb15bd9,2,2,6,6,2010-12-02 07:49:00,2010-12-02 07:49:00,1,6
536600,890d51ff3cc7d68b93fd9bf47f55bb214a25ff11c6e455be08555e7a62a7da17,2,2,12,12,2010-12-02 08:32:00,2010-12-02 08:32:00,1,12
536601,c22504655b50322cee4fe49d423ec583b84255135f143e06a2933aa547928f92,2,2,2,2,2010-12-02 08:33:00,2010-12-02 08:33:00,1,2
536602,97d0a2e4decb753fd66a1ae43041347f5cfb9d9e725823b0c2205adf25057941,2,2,12,12,2010-12-02 08:34:00,2010-12-02 08:34:00,1,12
536603,e5cbb2fb8093e15b6efd42a024821d009bebd3660fcc6b435a3c46f2fe00b3c1,2,2,2,2,2010-12-02 08:40:00,2010-12-02 08:40:00,1,2
536604,800cad79bb8a669fea9b2990045b999ec24b91f8b5bbfab248c83f7db35ec1d8,2,2,9,9,2010-12-02 08:43:00,2010-12-02 08:43:00,1,9
536605,1320986a436a5ea7f5494d6422bba061fa1ae0a5042a685ecd1c3f2d26761434,2,2,15,15,2010-12-02 08:52:00,2010-12-02 08:52:00,1,15
536607,db4b8214b2f78feb0a18626a2d4199c1e65e139198dceace8c1ecbb99c9de20f,2,2,18,18,2010-12-02 09:29:00,2010-12-02 09:29:00,1,18
536608,a110aab87f78b8a0b966d981cfd2434704200b4df5e907017546bf1953af79c1,2,2,3,3,2010-12-02 09:37:00,2010-12-02 09:37:00,1,3
536609,ddb71d6b566a259cbbd80374b660300a241c5b08455af1657de1309e1caba088,2,2,16,16,2010-12-02 09:41:00,2010-12-02 09:41:00,1,16
536610,a80923affa4e4d5be056d5bc7818ee0dde787e0ab82bc806ce294565278893f8,2,2,2,2,2010-12-02 09:42:00,2010-12-02 09:42:00,1,2
536611,b4d6e2080883e2f51b25489f15d44ae90a194bc18c79f98196c5dcf79ac7ac1f,2,2,14,14,2010-12-02 09:43:00,2010-12-02 09:43:00,1,14
536612,42a3a61b56e1ba7d47e4870f992c54ebde28875463e815bf2971a649439852f2,2,2,15,15,2010-12-02 09:44:00,2010-12-02 09:44:00,1,15
536613,7a42057807b8f6b8031915abe46eed1b7015e5ca482cb76ee60a6864f8383e58,2,2,17,17,2010-12-02 09:44:00,2010-12-02 09:44:00,1,17
536614,bb3f81c7e35e5df75c9cdfa45e7745f74f3a75f963036a122889ae03ccd58451,2,2,2,2,2010-12-02 09:44:00,2010-12-02 09:44:00,1,2
536615,d64d745733c4c03d17e87f5c4cd1ef6f8d781459741ff76857cb297c1be349c1,2,2,12,12,2010-12-02 10:09:00,2010-12-02 10:09:00,1,12
536616,3b2217ae748870ff6bd96e4a5156c8c00799e595f71a39e6e48cc534f33e67be,2,2,1,1,2010-12-02 10:10:00,2010-12-02 10:10:00,1,1
536617,f64eba0d2835bc377d0c0887478a5a505014f1a229e8dcc2cab38dd2bc8b17f7,2,2,11,11,2010-12-02 10:17:00,2010-12-02 10:17:00,1,11
536618,e19cf0e82cea5fd8b8a8aea09f70f9aea884af9e993e5eab0aa4fb9e0011e66f,2,2,21,21,2010-12-02 10:17:00,2010-12-02 10:17:00,1,21
536619,5aa340af200acbde9e861916ad6aa0edc7058c18fd89ac89457d9edfea52b4b3,2,2,2,2,2010-12-02 10:18:00,2010-12-02 10:18:00,1,2
536620,4c30320b644f46153eb2294c790a69eeccff9fe91f9561c26a2b3755699f7521,2,2,23,23,2010-12-02 10:27:00,2010-12-02 10:27:00,1,23
536621,e90d903e033fdc95592f9e10e68ffc1dc0ce27c1179c4c2a758771325c955161,2,2,10,10,2010-12-02 10:35:00,2010-12-02 10:35:00,1,10
536623,a5926f764fd5336f210e1fb8e2a73832cc67f86ef7cee61716ef736b60fd99b8,2,2,48,48,2010-12-02 10:39:00,2010-12-02 10:39:00,1,48
536624,2de7a16dff05b31cdc44e27cd3aa78bbe211798c8da0ffeba9be02db4e6a3645,2,2,22,22,2010-12-02 10:45:00,2010-12-02 10:45:00,1,22
536626,5f79c49d67996ac17a61b8075b3c87098a9a2876bd1b09c0a7272eb1ffbe2d5c,2,2,1,1,2010-12-02 10:46:00,2010-12-02 10:46:00,1,1
536627,5a17455994fae8cbfbc620d4162909a18d431c80f265d4d112af9a86270dc8da,2,2,14,14,2010-12-02 10:53:00,2010-12-02 10:53:00,1,14
536628,3e627e3ecf119e034e94abc66c7c9b55240d60efed69777746c6f0eb1112dc09,2,2,16,16,2010-12-02 10:54:00,2010-12-02 10:54:00,1,16
536629,cee560bcbea422b1a7f772d3cc48298fd2375623ac3d9638e63d56fb58bb8026,2,2,2,2,2010-12-02 10:55:00,2010-12-02 10:55:00,1,2
536630,1254ed725afe97d986420ebde20030f18a4c5d3055b8f4d4258230d972fef529,2,2,16,16,2010-12-02 10:56:00,2010-12-02 10:56:00,1,16
536631,0616b56533d9ed54fec08c1ce6903ae8835f36963d0a96f559c724c7a8a097a6,2,2,2,2,2010-12-02 10:58:00,2010-12-02 10:58:00,1,2
536632,313a0db7005d64d26b943a03dcf8cebd8fa9eee9dd9f6c299ce0832619449f62,2,2,21,21,2010-12-02 11:02:00,2010-12-02 11:02:00,1,21
536633,1eba6b4382193db9ed0f8facfbf1d8d2abf28b71d54f00d475b018e0bf24c3d3,2,2,18,18,2010-12-02 11:20:00,2010-12-02 11:20:00,1,18
536634,b17ce003a92765e7934fd6d0f19724627c736850d6e14599f4ee52c26d8642e0,2,2,14,14,2010-12-02 11:21:00,2010-12-02 11:21:00,1,14
536635,bef4eba48d32f907fa9c14aaf33772063b8a0ada4e8a7411de0456b4808d9d5f,2,2,20,20,2010-12-02 11:22:00,2010-12-02 11:22:00,1,20
536636,6e50888cd224922c6b7cf3a3d086584ce0392d226324ce71373b8905edce7681,2,2,1,1,2010-12-02 11:23:00,2010-12-02 11:23:00,1,1
536637,2312209a430d89188a9cf961b2ca929b121274e52abd21ce34517086ba7f0751,2,2,59,55,2010-12-02 11:35:00,2010-12-02 11:35:00,1,59
