TransactionID,InvoiceDate,LineCount,UniqueItemCount,TotalQuantity,Revenue
Year 2009-2010::528588,2010-10-22 14:03:00,9,9,23,77.99
Year 2009-2010::528588,2010-10-22 14:04:00,21,21,61,297.44
Year 2009-2010::529368,2010-10-28 10:07:00,1,1,1,12.72
Year 2009-2010::529368,2010-10-28 10:16:00,28,28,49,277.49
Year 2009-2010::530665,2010-11-04 10:48:00,7,7,36,176.9
Year 2009-2010::530665,2010-11-04 10:49:00,8,8,62,257.1
Year 2009-2010::531756,2010-11-09 13:23:00,15,15,60,109.8
Year 2009-2010::531756,2010-11-09 13:24:00,9,9,48,61.91
Year 2009-2010::532420,2010-11-12 09:30:00,11,11,81,228.59
Year 2009-2010::532420,2010-11-12 09:31:00,2,2,18,80.69999999999999
Year 2009-2010::533106,2010-11-16 11:53:00,5,5,63,111.15
Year 2009-2010::533106,2010-11-16 11:54:00,32,32,417,598.95
Year 2009-2010::533348,2010-11-17 09:22:00,108,108,247,761.66
Year 2009-2010::533348,2010-11-17 09:23:00,356,356,741,2764.23
Year 2009-2010::533505,2010-11-17 14:05:00,27,27,60,98.05
Year 2009-2010::533505,2010-11-17 14:06:00,29,29,141,231.25
Year 2009-2010::534948,2010-11-24 15:31:00,7,7,93,137.85
Year 2009-2010::534948,2010-11-24 15:32:00,8,8,63,197.41
Year 2009-2010::536591,2010-12-01 16:57:00,34,34,81,159.26
Year 2009-2010::536591,2010-12-01 16:58:00,6,6,12,39.06
Year 2010-2011::536591,2010-12-01 16:57:00,34,34,81,159.26
Year 2010-2011::536591,2010-12-01 16:58:00,6,6,12,39.06
Year 2010-2011::540185,2011-01-05 13:40:00,19,19,237,212.15
Year 2010-2011::540185,2011-01-05 13:41:00,10,10,68,132.66
Year 2010-2011::541596,2011-01-19 16:18:00,33,33,155,185.92000000000002
Year 2010-2011::541596,2011-01-19 16:19:00,70,69,644,581.13
Year 2010-2011::541631,2011-01-20 10:47:00,27,27,211,581.55
Year 2010-2011::541631,2011-01-20 10:48:00,44,44,491,827.13
Year 2010-2011::541809,2011-01-21 14:58:00,54,52,249,1343.71
Year 2010-2011::541809,2011-01-21 14:59:00,37,37,214,663.73
Year 2010-2011::541816,2011-01-21 15:56:00,58,58,301,491.94
Year 2010-2011::541816,2011-01-21 15:57:00,15,15,64,122.44
Year 2010-2011::541849,2011-01-23 13:33:00,1,1,1,0.85
Year 2010-2011::541849,2011-01-23 13:34:00,44,43,74,145.09
Year 2010-2011::542217,2011-01-26 12:35:00,1,1,12,7.800000000000001
Year 2010-2011::542217,2011-01-26 12:36:00,17,17,108,158.5
Year 2010-2011::542806,2011-02-01 11:19:00,4,4,6,47.7
Year 2010-2011::542806,2011-02-01 11:20:00,35,35,254,798.99
Year 2010-2011::543171,2011-02-04 09:10:00,1,1,1,2.46
Year 2010-2011::543171,2011-02-04 09:11:00,59,59,136,660.7099999999999
Year 2010-2011::543179,2011-02-04 10:31:00,14,14,14,21.64
Year 2010-2011::543179,2011-02-04 10:32:00,23,23,23,23.93
Year 2010-2011::543182,2011-02-04 10:39:00,14,14,18,110.99
Year 2010-2011::543182,2011-02-04 10:40:00,129,129,415,1428.72
Year 2010-2011::543777,2011-02-11 16:19:00,3,3,3,9.25
Year 2010-2011::543777,2011-02-11 16:20:00,40,39,127,243.04
Year 2010-2011::544186,2011-02-16 15:55:00,26,26,47,152.94
Year 2010-2011::544186,2011-02-16 15:56:00,157,156,340,1147.45
Year 2010-2011::544667,2011-02-22 15:09:00,22,22,1522,1980.82
Year 2010-2011::544667,2011-02-22 15:10:00,12,12,1352,1355.94
Year 2010-2011::544926,2011-02-24 17:50:00,5,5,30,89.30000000000001
Year 2010-2011::544926,2011-02-24 17:51:00,1,1,2,15.9
Year 2010-2011::545460,2011-03-02 17:32:00,1,1,2,1.9
Year 2010-2011::545460,2011-03-02 17:33:00,75,70,131,273.63
Year 2010-2011::545713,2011-03-07 10:11:00,79,78,739,3197.95
Year 2010-2011::545713,2011-03-07 10:12:00,41,41,626,2109.7
Year 2010-2011::546388,2011-03-11 13:42:00,76,76,548,2472.63
Year 2010-2011::546388,2011-03-11 13:43:00,14,14,75,203.5
Year 2010-2011::546986,2011-03-18 12:55:00,12,12,76,213.98000000000002
Year 2010-2011::546986,2011-03-18 12:56:00,34,34,459,566.37
Year 2010-2011::547690,2011-03-24 14:55:00,9,9,96,149.2
Year 2010-2011::547690,2011-03-24 14:56:00,14,14,166,186.12
Year 2010-2011::548203,2011-03-29 16:40:00,107,107,4178,14719.15
Year 2010-2011::548203,2011-03-29 16:41:00,31,31,1785,6670.45
Year 2010-2011::549245,2011-04-07 11:59:00,27,27,71,115.81
Year 2010-2011::549245,2011-04-07 12:00:00,6,6,21,27.349999999999998
Year 2010-2011::549524,2011-04-08 15:41:00,6,6,15,31.89
Year 2010-2011::549524,2011-04-08 15:42:00,166,166,379,1224.3899999999999
Year 2010-2011::550320,2011-04-17 12:37:00,53,50,236,354.4
Year 2010-2011::550320,2011-04-17 12:38:00,30,30,106,236.07
Year 2010-2011::550333,2011-04-17 14:05:00,15,15,111,258.85
Year 2010-2011::550333,2011-04-17 14:06:00,7,7,53,197.35000000000002
Year 2010-2011::550641,2011-04-19 15:53:00,2,2,4,4.199999999999999
Year 2010-2011::550641,2011-04-19 15:54:00,7,7,10,12.91
Year 2010-2011::550645,2011-04-19 16:30:00,1,1,3,11.25
Year 2010-2011::550645,2011-04-19 16:31:00,6,6,53,146.65
Year 2010-2011::552000,2011-05-05 15:55:00,1,1,1,3.29
Year 2010-2011::552000,2011-05-05 15:56:00,141,140,324,1068.66
Year 2010-2011::553199,2011-05-15 15:13:00,29,29,112,176.71
Year 2010-2011::553199,2011-05-15 15:14:00,29,29,132,265.63
Year 2010-2011::553375,2011-05-16 14:52:00,7,7,126,204.9
Year 2010-2011::553375,2011-05-16 14:53:00,32,32,368,979.3199999999999
Year 2010-2011::553556,2011-05-17 16:48:00,34,34,98,165.39
Year 2010-2011::553556,2011-05-17 16:49:00,17,17,34,81.5
Year 2010-2011::554116,2011-05-22 15:11:00,4,4,19,36.91
Year 2010-2011::554116,2011-05-22 15:12:00,9,8,33,110.95
Year 2010-2011::558086,2011-06-26 11:58:00,12,12,17,23.150000000000002
Year 2010-2011::558086,2011-06-26 11:59:00,36,36,93,198.23
Year 2010-2011::561369,2011-07-26 16:21:00,71,71,231,701.3
Year 2010-2011::561369,2011-07-26 16:22:00,89,89,199,774.57
Year 2010-2011::562128,2011-08-03 09:06:00,2,2,16,34.8
Year 2010-2011::562128,2011-08-03 09:07:00,23,23,258,409.42
Year 2010-2011::563245,2011-08-15 10:53:00,23,23,222,409.90000000000003
Year 2010-2011::563245,2011-08-15 10:54:00,2,2,2,1.8
Year 2010-2011::567183,2011-09-18 15:32:00,335,331,2437,3400.48
Year 2010-2011::567183,2011-09-18 15:33:00,56,56,271,388.04
Year 2010-2011::571735,2011-10-19 10:03:00,8,8,230,659.1
Year 2010-2011::571735,2011-10-19 10:04:00,6,6,77,125.97
Year 2010-2011::574076,2011-11-02 15:37:00,1,1,1,2.46
Year 2010-2011::574076,2011-11-02 15:38:00,414,414,1032,3134.2599999999998
Year 2010-2011::576057,2011-11-13 15:05:00,25,25,145,138.99
Year 2010-2011::576057,2011-11-13 15:06:00,17,17,57,74.85
Year 2010-2011::578548,2011-11-24 15:02:00,47,38,160,228.78
Year 2010-2011::578548,2011-11-24 15:03:00,2,2,4,9.73
