RowIndex,TransactionID
204,Year 2009-2010::489862
205,Year 2009-2010::489863
206,Year 2009-2010::489864
207,Year 2009-2010::489865
208,Year 2009-2010::489866
209,Year 2009-2010::489867
210,Year 2009-2010::489868
211,Year 2009-2010::489869
212,Year 2009-2010::489870
213,Year 2009-2010::489871
214,Year 2009-2010::489872
215,Year 2009-2010::489873
216,Year 2009-2010::489874
217,Year 2009-2010::489875
218,Year 2009-2010::489876
219,Year 2009-2010::489877
220,Year 2009-2010::489878
221,Year 2009-2010::489879
222,Year 2009-2010::489880
223,Year 2009-2010::489883
224,Year 2009-2010::489884
225,Year 2009-2010::489888
226,Year 2009-2010::489889
227,Year 2009-2010::489890
228,Year 2009-2010::489891
229,Year 2009-2010::489892
230,Year 2009-2010::489893
231,Year 2009-2010::489894
232,Year 2009-2010::489895
233,Year 2009-2010::489896
234,Year 2009-2010::489897
235,Year 2009-2010::489900
236,Year 2009-2010::489902
237,Year 2009-2010::489904
238,Year 2009-2010::489905
239,Year 2009-2010::489906
240,Year 2009-2010::489907
241,Year 2009-2010::489908
242,Year 2009-2010::489909
243,Year 2009-2010::489910
244,Year 2009-2010::489912
245,Year 2009-2010::489913
246,Year 2009-2010::489914
247,Year 2009-2010::489915
248,Year 2009-2010::489916
249,Year 2009-2010::489932
250,Year 2009-2010::489935
251,Year 2009-2010::489994
252,Year 2009-2010::489996
253,Year 2009-2010::489998
254,Year 2009-2010::489999
255,Year 2009-2010::490000
256,Year 2009-2010::490001
257,Year 2009-2010::490002
258,Year 2009-2010::490003
259,Year 2009-2010::490004
260,Year 2009-2010::490005
261,Year 2009-2010::490006
262,Year 2009-2010::490008
263,Year 2009-2010::490009
264,Year 2009-2010::490010
265,Year 2009-2010::490011
266,Year 2009-2010::490012
267,Year 2009-2010::490013
268,Year 2009-2010::490014
269,Year 2009-2010::490017
270,Year 2009-2010::490018
271,Year 2009-2010::490019
272,Year 2009-2010::490020
273,Year 2009-2010::490021
274,Year 2009-2010::490022
275,Year 2009-2010::490023
276,Year 2009-2010::490024
277,Year 2009-2010::490030
278,Year 2009-2010::490034
279,Year 2009-2010::490045
280,Year 2009-2010::490046
281,Year 2009-2010::490047
282,Year 2009-2010::490048
283,Year 2009-2010::490049
284,Year 2009-2010::490050
285,Year 2009-2010::490052
286,Year 2009-2010::490053
287,Year 2009-2010::490054
288,Year 2009-2010::490056
289,Year 2009-2010::490057
290,Year 2009-2010::490058
291,Year 2009-2010::490059
292,Year 2009-2010::490060
293,Year 2009-2010::490061
294,Year 2009-2010::490062
295,Year 2009-2010::490063
296,Year 2009-2010::490064
297,Year 2009-2010::490065
298,Year 2009-2010::490066
299,Year 2009-2010::490067
300,Year 2009-2010::490068
301,Year 2009-2010::490069
302,Year 2009-2010::490070
303,Year 2009-2010::490071
304,Year 2009-2010::490072
305,Year 2009-2010::490073
306,Year 2009-2010::490074
307,Year 2009-2010::490075
308,Year 2009-2010::490077
309,Year 2009-2010::490078
310,Year 2009-2010::490079
311,Year 2009-2010::490080
312,Year 2009-2010::490081
313,Year 2009-2010::490082
314,Year 2009-2010::490083
315,Year 2009-2010::490085
316,Year 2009-2010::490086
317,Year 2009-2010::490087
318,Year 2009-2010::490088
319,Year 2009-2010::490089
320,Year 2009-2010::490090
321,Year 2009-2010::490091
322,Year 2009-2010::490092
323,Year 2009-2010::490093
324,Year 2009-2010::490094
325,Year 2009-2010::490095
326,Year 2009-2010::490097
327,Year 2009-2010::490099
328,Year 2009-2010::490100
329,Year 2009-2010::490101
330,Year 2009-2010::490106
331,Year 2009-2010::490107
332,Year 2009-2010::490108
333,Year 2009-2010::490109
334,Year 2009-2010::490110
335,Year 2009-2010::490111
336,Year 2009-2010::490112
337,Year 2009-2010::490113
338,Year 2009-2010::490114
339,Year 2009-2010::490115
340,Year 2009-2010::490116
341,Year 2009-2010::490118
342,Year 2009-2010::490119
343,Year 2009-2010::490121
344,Year 2009-2010::490124
345,Year 2009-2010::490125
346,Year 2009-2010::490127
347,Year 2009-2010::490128
348,Year 2009-2010::490132
349,Year 2009-2010::490134
350,Year 2009-2010::490135
351,Year 2009-2010::490136
352,Year 2009-2010::490137
353,Year 2009-2010::490138
354,Year 2009-2010::490139
355,Year 2009-2010::490140
356,Year 2009-2010::490141
357,Year 2009-2010::490142
358,Year 2009-2010::490143
359,Year 2009-2010::490144
360,Year 2009-2010::490145
361,Year 2009-2010::490147
362,Year 2009-2010::490149
363,Year 2009-2010::490151
364,Year 2009-2010::490152
365,Year 2009-2010::490154
366,Year 2009-2010::490156
367,Year 2009-2010::490157
368,Year 2009-2010::490158
369,Year 2009-2010::490159
370,Year 2009-2010::490160
371,Year 2009-2010::490161
372,Year 2009-2010::490162
373,Year 2009-2010::490163
374,Year 2009-2010::490164
375,Year 2009-2010::490166
376,Year 2009-2010::490167
377,Year 2009-2010::490171
378,Year 2009-2010::490177
379,Year 2009-2010::490186
380,Year 2009-2010::490192
381,Year 2009-2010::490202
382,Year 2009-2010::490209
383,Year 2009-2010::490212
384,Year 2009-2010::490214
385,Year 2009-2010::490218
386,Year 2009-2010::490219
387,Year 2009-2010::490229
388,Year 2009-2010::490247
389,Year 2009-2010::490258
390,Year 2009-2010::490266
391,Year 2009-2010::490272
392,Year 2009-2010::490277
393,Year 2009-2010::490279
394,Year 2009-2010::490281
395,Year 2009-2010::490282
396,Year 2009-2010::490284
397,Year 2009-2010::490285
398,Year 2009-2010::490286
399,Year 2009-2010::490287
400,Year 2009-2010::490288
401,Year 2009-2010::490289
402,Year 2009-2010::490290
403,Year 2009-2010::490291
404,Year 2009-2010::490292
405,Year 2009-2010::490293
406,Year 2009-2010::490294
407,Year 2009-2010::490295
408,Year 2009-2010::490297
409,Year 2009-2010::490298
410,Year 2009-2010::490299
411,Year 2009-2010::490300
412,Year 2009-2010::490301
413,Year 2009-2010::490302
414,Year 2009-2010::490303
415,Year 2009-2010::490304
416,Year 2009-2010::490305
417,Year 2009-2010::490308
418,Year 2009-2010::490310
419,Year 2009-2010::490311
420,Year 2009-2010::490312
421,Year 2009-2010::490313
422,Year 2009-2010::490320
423,Year 2009-2010::490323
424,Year 2009-2010::490324
425,Year 2009-2010::490326
426,Year 2009-2010::490327
427,Year 2009-2010::490331
428,Year 2009-2010::490340
429,Year 2009-2010::490341
430,Year 2009-2010::490342
431,Year 2009-2010::490345
432,Year 2009-2010::490346
433,Year 2009-2010::490347
434,Year 2009-2010::490349
435,Year 2009-2010::490351
436,Year 2009-2010::490352
437,Year 2009-2010::490353
438,Year 2009-2010::490355
439,Year 2009-2010::490356
440,Year 2009-2010::490359
441,Year 2009-2010::490360
442,Year 2009-2010::490361
443,Year 2009-2010::490362
444,Year 2009-2010::490363
445,Year 2009-2010::490364
446,Year 2009-2010::490365
447,Year 2009-2010::490366
448,Year 2009-2010::490367
449,Year 2009-2010::490368
450,Year 2009-2010::490369
451,Year 2009-2010::490370
452,Year 2009-2010::490371
453,Year 2009-2010::490372
454,Year 2009-2010::490373
455,Year 2009-2010::490374
456,Year 2009-2010::490375
457,Year 2009-2010::490376
458,Year 2009-2010::490377
459,Year 2009-2010::490378
460,Year 2009-2010::490380
461,Year 2009-2010::490381
462,Year 2009-2010::490382
463,Year 2009-2010::490383
464,Year 2009-2010::490385
465,Year 2009-2010::490386
466,Year 2009-2010::490387
467,Year 2009-2010::490388
468,Year 2009-2010::490389
469,Year 2009-2010::490390
470,Year 2009-2010::490391
471,Year 2009-2010::490392
472,Year 2009-2010::490393
473,Year 2009-2010::490394
474,Year 2009-2010::490395
475,Year 2009-2010::490396
476,Year 2009-2010::490397
477,Year 2009-2010::490398
478,Year 2009-2010::490399
479,Year 2009-2010::490400
480,Year 2009-2010::490401
481,Year 2009-2010::490403
482,Year 2009-2010::490404
483,Year 2009-2010::490405
484,Year 2009-2010::490408
485,Year 2009-2010::490430
486,Year 2009-2010::490458
487,Year 2009-2010::490459
488,Year 2009-2010::490461
489,Year 2009-2010::490463
490,Year 2009-2010::490464
491,Year 2009-2010::490465
492,Year 2009-2010::490466
493,Year 2009-2010::490467
494,Year 2009-2010::490468
495,Year 2009-2010::490470
496,Year 2009-2010::490471
497,Year 2009-2010::490472
498,Year 2009-2010::490473
499,Year 2009-2010::490474
500,Year 2009-2010::490476
501,Year 2009-2010::490477
502,Year 2009-2010::490478
503,Year 2009-2010::490479
504,Year 2009-2010::490481
505,Year 2009-2010::490482
506,Year 2009-2010::490483
507,Year 2009-2010::490484
508,Year 2009-2010::490485
509,Year 2009-2010::490486
510,Year 2009-2010::490487
511,Year 2009-2010::490488
512,Year 2009-2010::490489
513,Year 2009-2010::490490
514,Year 2009-2010::490491
515,Year 2009-2010::490493
516,Year 2009-2010::490494
517,Year 2009-2010::490496
518,Year 2009-2010::490499
519,Year 2009-2010::490500
520,Year 2009-2010::490501
521,Year 2009-2010::490502
522,Year 2009-2010::490503
523,Year 2009-2010::490504
524,Year 2009-2010::490505
525,Year 2009-2010::490506
526,Year 2009-2010::490508
527,Year 2009-2010::490511
528,Year 2009-2010::490512
529,Year 2009-2010::490514
530,Year 2009-2010::490515
531,Year 2009-2010::490516
532,Year 2009-2010::490517
533,Year 2009-2010::490518
534,Year 2009-2010::490519
535,Year 2009-2010::490521
536,Year 2009-2010::490522
537,Year 2009-2010::490523
538,Year 2009-2010::490524
539,Year 2009-2010::490525
540,Year 2009-2010::490526
541,Year 2009-2010::490527
542,Year 2009-2010::490528
543,Year 2009-2010::490529
544,Year 2009-2010::490530
545,Year 2009-2010::490531
546,Year 2009-2010::490533
547,Year 2009-2010::490534
548,Year 2009-2010::490535
549,Year 2009-2010::490536
550,Year 2009-2010::490537
551,Year 2009-2010::490538
552,Year 2009-2010::490539
553,Year 2009-2010::490541
554,Year 2009-2010::490542
555,Year 2009-2010::490545
556,Year 2009-2010::490547
557,Year 2009-2010::490548
558,Year 2009-2010::490557
559,Year 2009-2010::490561
560,Year 2009-2010::490563
561,Year 2009-2010::490564
562,Year 2009-2010::490566
563,Year 2009-2010::490569
564,Year 2009-2010::490577
565,Year 2009-2010::490603
566,Year 2009-2010::490604
567,Year 2009-2010::490605
568,Year 2009-2010::490606
569,Year 2009-2010::490607
570,Year 2009-2010::490608
571,Year 2009-2010::490609
572,Year 2009-2010::490610
573,Year 2009-2010::490611
574,Year 2009-2010::490612
575,Year 2009-2010::490613
576,Year 2009-2010::490616
577,Year 2009-2010::490618
578,Year 2009-2010::490625
579,Year 2009-2010::490636
580,Year 2009-2010::490637
581,Year 2009-2010::490638
582,Year 2009-2010::490640
583,Year 2009-2010::490641
584,Year 2009-2010::490642
585,Year 2009-2010::490653
586,Year 2009-2010::490657
587,Year 2009-2010::490659
588,Year 2009-2010::490665
589,Year 2009-2010::490667
590,Year 2009-2010::490668
591,Year 2009-2010::490669
592,Year 2009-2010::490670
593,Year 2009-2010::490671
594,Year 2009-2010::490672
595,Year 2009-2010::490673
596,Year 2009-2010::490674
597,Year 2009-2010::490675
598,Year 2009-2010::490676
599,Year 2009-2010::490677
600,Year 2009-2010::490678
601,Year 2009-2010::490679
602,Year 2009-2010::490680
603,Year 2009-2010::490681
604,Year 2009-2010::490682
605,Year 2009-2010::490683
606,Year 2009-2010::490684
607,Year 2009-2010::490685
608,Year 2009-2010::490686
609,Year 2009-2010::490687
610,Year 2009-2010::490689
611,Year 2009-2010::490690
612,Year 2009-2010::490691
613,Year 2009-2010::490692
614,Year 2009-2010::490693
615,Year 2009-2010::490694
616,Year 2009-2010::490695
617,Year 2009-2010::490697
618,Year 2009-2010::490698
619,Year 2009-2010::490699
620,Year 2009-2010::490703
621,Year 2009-2010::490704
622,Year 2009-2010::490705
623,Year 2009-2010::490706
624,Year 2009-2010::490707
625,Year 2009-2010::490708
626,Year 2009-2010::490709
627,Year 2009-2010::490710
628,Year 2009-2010::490711
629,Year 2009-2010::490712
630,Year 2009-2010::490714
631,Year 2009-2010::490717
632,Year 2009-2010::490718
633,Year 2009-2010::490719
634,Year 2009-2010::490720
635,Year 2009-2010::490722
636,Year 2009-2010::490723
637,Year 2009-2010::490724
638,Year 2009-2010::490725
639,Year 2009-2010::490726
640,Year 2009-2010::490727
641,Year 2009-2010::490728
642,Year 2009-2010::490733
643,Year 2009-2010::490734
644,Year 2009-2010::490737
645,Year 2009-2010::490738
646,Year 2009-2010::490741
647,Year 2009-2010::490745
648,Year 2009-2010::490747
649,Year 2009-2010::490749
650,Year 2009-2010::490750
651,Year 2009-2010::490751
652,Year 2009-2010::490752
653,Year 2009-2010::490753
654,Year 2009-2010::490754
655,Year 2009-2010::490755
656,Year 2009-2010::490757
657,Year 2009-2010::490759
658,Year 2009-2010::490761
659,Year 2009-2010::490762
660,Year 2009-2010::490763
661,Year 2009-2010::490764
662,Year 2009-2010::490767
663,Year 2009-2010::490769
664,Year 2009-2010::490770
665,Year 2009-2010::490782
666,Year 2009-2010::490785
667,Year 2009-2010::490786
668,Year 2009-2010::490789
669,Year 2009-2010::490796
670,Year 2009-2010::490797
671,Year 2009-2010::490799
672,Year 2009-2010::490800
673,Year 2009-2010::490801
674,Year 2009-2010::490802
675,Year 2009-2010::490803
676,Year 2009-2010::490804
677,Year 2009-2010::490805
678,Year 2009-2010::490806
679,Year 2009-2010::490808
680,Year 2009-2010::490809
681,Year 2009-2010::490810
682,Year 2009-2010::490811
683,Year 2009-2010::490817
684,Year 2009-2010::490823
685,Year 2009-2010::490834
686,Year 2009-2010::490836
687,Year 2009-2010::490838
688,Year 2009-2010::490846
689,Year 2009-2010::490847
690,Year 2009-2010::490851
691,Year 2009-2010::490855
692,Year 2009-2010::490863
693,Year 2009-2010::490871
694,Year 2009-2010::490893
695,Year 2009-2010::490899
696,Year 2009-2010::490905
697,Year 2009-2010::490917
698,Year 2009-2010::490920
699,Year 2009-2010::490921
700,Year 2009-2010::490922
701,Year 2009-2010::490924
702,Year 2009-2010::490925
703,Year 2009-2010::490926
704,Year 2009-2010::490927
705,Year 2009-2010::490928
706,Year 2009-2010::490930
707,Year 2009-2010::490932
708,Year 2009-2010::490933
709,Year 2009-2010::490936
710,Year 2009-2010::490937
711,Year 2009-2010::490938
712,Year 2009-2010::490940
713,Year 2009-2010::490941
714,Year 2009-2010::490944
715,Year 2009-2010::490945
716,Year 2009-2010::490950
717,Year 2009-2010::490951
718,Year 2009-2010::490952
719,Year 2009-2010::490953
720,Year 2009-2010::490954
721,Year 2009-2010::490955
722,Year 2009-2010::490956
723,Year 2009-2010::490957
724,Year 2009-2010::490958
725,Year 2009-2010::490959
726,Year 2009-2010::490960
727,Year 2009-2010::490961
728,Year 2009-2010::490962
729,Year 2009-2010::490963
730,Year 2009-2010::490964
731,Year 2009-2010::490966
732,Year 2009-2010::490968
733,Year 2009-2010::490971
734,Year 2009-2010::490972
735,Year 2009-2010::490978
736,Year 2009-2010::490981
737,Year 2009-2010::490982
738,Year 2009-2010::490984
739,Year 2009-2010::490989
740,Year 2009-2010::490990
741,Year 2009-2010::490992
742,Year 2009-2010::490998
743,Year 2009-2010::491006
744,Year 2009-2010::491007
745,Year 2009-2010::491008
746,Year 2009-2010::491009
747,Year 2009-2010::491010
748,Year 2009-2010::491011
749,Year 2009-2010::491014
750,Year 2009-2010::491024
751,Year 2009-2010::491025
752,Year 2009-2010::491026
753,Year 2009-2010::491033
754,Year 2009-2010::491034
755,Year 2009-2010::491035
756,Year 2009-2010::491038
757,Year 2009-2010::491039
758,Year 2009-2010::491041
759,Year 2009-2010::491042
760,Year 2009-2010::491043
761,Year 2009-2010::491044
762,Year 2009-2010::491045
763,Year 2009-2010::491048
764,Year 2009-2010::491049
765,Year 2009-2010::491050
766,Year 2009-2010::491051
767,Year 2009-2010::491054
768,Year 2009-2010::491055
769,Year 2009-2010::491056
770,Year 2009-2010::491057
771,Year 2009-2010::491058
772,Year 2009-2010::491059
773,Year 2009-2010::491060
774,Year 2009-2010::491061
775,Year 2009-2010::491062
776,Year 2009-2010::491063
777,Year 2009-2010::491064
778,Year 2009-2010::491067
779,Year 2009-2010::491068
780,Year 2009-2010::491069
781,Year 2009-2010::491070
782,Year 2009-2010::491071
783,Year 2009-2010::491072
784,Year 2009-2010::491073
785,Year 2009-2010::491074
786,Year 2009-2010::491075
787,Year 2009-2010::491077
788,Year 2009-2010::491078
789,Year 2009-2010::491079
790,Year 2009-2010::491081
791,Year 2009-2010::491082
792,Year 2009-2010::491083
793,Year 2009-2010::491085
794,Year 2009-2010::491086
795,Year 2009-2010::491087
796,Year 2009-2010::491088
797,Year 2009-2010::491089
798,Year 2009-2010::491090
799,Year 2009-2010::491091
800,Year 2009-2010::491092
801,Year 2009-2010::491093
802,Year 2009-2010::491095
803,Year 2009-2010::491096
804,Year 2009-2010::491097
805,Year 2009-2010::491098
806,Year 2009-2010::491100
807,Year 2009-2010::491101
808,Year 2009-2010::491102
809,Year 2009-2010::491103
810,Year 2009-2010::491104
811,Year 2009-2010::491105
812,Year 2009-2010::491109
813,Year 2009-2010::491110
814,Year 2009-2010::491111
815,Year 2009-2010::491112
816,Year 2009-2010::491113
817,Year 2009-2010::491114
818,Year 2009-2010::491116
819,Year 2009-2010::491118
820,Year 2009-2010::491119
821,Year 2009-2010::491122
822,Year 2009-2010::491123
823,Year 2009-2010::491124
824,Year 2009-2010::491125
825,Year 2009-2010::491126
826,Year 2009-2010::491127
827,Year 2009-2010::491129
828,Year 2009-2010::491131
829,Year 2009-2010::491132
830,Year 2009-2010::491133
831,Year 2009-2010::491134
832,Year 2009-2010::491135
833,Year 2009-2010::491136
834,Year 2009-2010::491138
835,Year 2009-2010::491139
836,Year 2009-2010::491143
837,Year 2009-2010::491144
838,Year 2009-2010::491145
839,Year 2009-2010::491146
840,Year 2009-2010::491147
841,Year 2009-2010::491148
842,Year 2009-2010::491149
843,Year 2009-2010::491150
844,Year 2009-2010::491151
845,Year 2009-2010::491152
846,Year 2009-2010::491153
847,Year 2009-2010::491154
848,Year 2009-2010::491155
849,Year 2009-2010::491158
850,Year 2009-2010::491159
851,Year 2009-2010::491160
852,Year 2009-2010::491161
853,Year 2009-2010::491163
854,Year 2009-2010::491164
855,Year 2009-2010::491165
856,Year 2009-2010::491169
857,Year 2009-2010::491170
858,Year 2009-2010::491171
859,Year 2009-2010::491172
860,Year 2009-2010::491173
861,Year 2009-2010::491174
862,Year 2009-2010::491175
863,Year 2009-2010::491177
864,Year 2009-2010::491178
865,Year 2009-2010::491179
866,Year 2009-2010::491180
867,Year 2009-2010::491181
868,Year 2009-2010::491182
869,Year 2009-2010::491183
870,Year 2009-2010::491184
871,Year 2009-2010::491185
872,Year 2009-2010::491186
873,Year 2009-2010::491187
874,Year 2009-2010::491188
875,Year 2009-2010::491189
876,Year 2009-2010::491191
877,Year 2009-2010::491192
878,Year 2009-2010::491193
879,Year 2009-2010::491194
880,Year 2009-2010::491195
881,Year 2009-2010::491196
882,Year 2009-2010::491197
883,Year 2009-2010::491198
884,Year 2009-2010::491199
885,Year 2009-2010::491200
886,Year 2009-2010::491201
887,Year 2009-2010::491202
888,Year 2009-2010::491203
889,Year 2009-2010::491204
890,Year 2009-2010::491205
891,Year 2009-2010::491207
892,Year 2009-2010::491209
893,Year 2009-2010::491210
894,Year 2009-2010::491211
895,Year 2009-2010::491212
896,Year 2009-2010::491226
897,Year 2009-2010::491235
898,Year 2009-2010::491238
899,Year 2009-2010::491240
900,Year 2009-2010::491247
901,Year 2009-2010::491314
902,Year 2009-2010::491317
903,Year 2009-2010::491318
904,Year 2009-2010::491319
905,Year 2009-2010::491320
906,Year 2009-2010::491321
907,Year 2009-2010::491340
908,Year 2009-2010::491345
909,Year 2009-2010::491356
910,Year 2009-2010::491358
911,Year 2009-2010::491368
912,Year 2009-2010::491385
913,Year 2009-2010::491393
914,Year 2009-2010::491394
915,Year 2009-2010::491395
916,Year 2009-2010::491396
917,Year 2009-2010::491397
918,Year 2009-2010::491399
919,Year 2009-2010::491400
920,Year 2009-2010::491401
921,Year 2009-2010::491403
922,Year 2009-2010::491405
923,Year 2009-2010::491406
924,Year 2009-2010::491407
925,Year 2009-2010::491408
926,Year 2009-2010::491421
927,Year 2009-2010::491422
928,Year 2009-2010::491424
929,Year 2009-2010::491425
930,Year 2009-2010::491426
931,Year 2009-2010::491427
932,Year 2009-2010::491429
933,Year 2009-2010::491431
934,Year 2009-2010::491432
935,Year 2009-2010::491433
936,Year 2009-2010::491434
937,Year 2009-2010::491435
938,Year 2009-2010::491436
939,Year 2009-2010::491437
940,Year 2009-2010::491438
941,Year 2009-2010::491439
942,Year 2009-2010::491440
943,Year 2009-2010::491442
944,Year 2009-2010::491443
945,Year 2009-2010::491444
946,Year 2009-2010::491445
947,Year 2009-2010::491447
948,Year 2009-2010::491448
949,Year 2009-2010::491449
950,Year 2009-2010::491450
951,Year 2009-2010::491452
952,Year 2009-2010::491453
953,Year 2009-2010::491454
954,Year 2009-2010::491456
955,Year 2009-2010::491457
956,Year 2009-2010::491462
957,Year 2009-2010::491463
958,Year 2009-2010::491464
959,Year 2009-2010::491465
960,Year 2009-2010::491468
961,Year 2009-2010::491474
962,Year 2009-2010::491479
963,Year 2009-2010::491497
964,Year 2009-2010::491498
965,Year 2009-2010::491506
966,Year 2009-2010::491508
967,Year 2009-2010::491516
968,Year 2009-2010::491528
969,Year 2009-2010::491554
970,Year 2009-2010::491555
971,Year 2009-2010::491570
972,Year 2009-2010::491584
973,Year 2009-2010::491586
974,Year 2009-2010::491587
975,Year 2009-2010::491597
976,Year 2009-2010::491601
977,Year 2009-2010::491603
978,Year 2009-2010::491607
979,Year 2009-2010::491612
980,Year 2009-2010::491613
981,Year 2009-2010::491617
982,Year 2009-2010::491622
983,Year 2009-2010::491625
984,Year 2009-2010::491627
985,Year 2009-2010::491628
986,Year 2009-2010::491629
987,Year 2009-2010::491630
988,Year 2009-2010::491631
989,Year 2009-2010::491633
990,Year 2009-2010::491634
991,Year 2009-2010::491635
992,Year 2009-2010::491636
993,Year 2009-2010::491637
994,Year 2009-2010::491640
995,Year 2009-2010::491641
996,Year 2009-2010::491642
997,Year 2009-2010::491643
